Time,Solar,Wind,Geothermal,Biomass,Biogas,Small hydro,Coal,Nuclear,Natural gas,Large hydro,Batteries,Imports,Other
00:00,0,2497,992,335,233,357,19,2274,13042,2662,-56,8556,0
00:05,0,2492,992,336,233,356,19,2273,13106,2301,-57,8577,0
00:10,0,2458,992,336,233,356,19,2273,13321,2217,-18,8423,0
00:15,0,2417,992,337,234,356,19,2272,13136,2261,42,8360,0
00:20,0,2385,991,336,233,360,20,2272,12737,2319,9,8614,0
00:25,0,2383,992,334,234,362,20,2271,12409,2305,18,8717,0
00:30,0,2359,990,333,234,363,19,2272,12485,2241,-36,8644,0
00:35,0,2342,991,335,234,361,18,2272,12362,2182,-75,8760,0
00:40,0,2307,992,335,234,360,19,2272,12170,2167,-75,8813,0
00:45,0,2254,993,337,234,360,19,2271,12000,2111,-48,8870,0
00:50,0,2196,994,334,234,356,18,2271,11848,2089,-5,8923,0
00:55,0,2150,994,333,235,351,17,2272,11815,2182,-5,8741,0
01:00,0,2120,992,333,234,334,19,2272,11805,2176,0,8624,0
01:05,0,2102,994,329,234,314,19,2273,11785,2136,25,8538,0
01:10,0,2111,994,329,235,315,19,2272,11850,2103,8,8433,0
01:15,0,2134,993,329,235,314,19,2273,11810,2092,2,8307,0
01:20,0,2097,993,328,235,317,18,2272,11797,2053,-13,8360,0
01:25,0,2069,993,330,235,316,18,2272,11638,2041,-6,8357,0
01:30,0,2080,993,331,234,316,19,2272,11496,1991,-13,8355,0
01:35,0,2112,995,332,234,316,20,2272,11349,1885,-16,8430,0
01:40,0,2136,994,334,234,316,20,2272,11296,1861,-28,8405,0
01:45,0,2143,993,336,234,316,20,2272,11240,1859,-44,8355,0
01:50,0,2122,992,336,234,314,20,2272,11187,1878,-41,8308,0
01:55,0,2087,992,336,234,314,19,2272,11194,1845,-55,8247,0
02:00,0,2054,993,335,233,313,19,2272,11180,1798,-56,8180,0
02:05,0,1937,992,336,233,312,19,2271,11091,1676,-12,8317,0
02:10,0,1855,993,336,233,314,19,2270,11059,1677,33,8353,0
02:15,0,1903,992,337,233,314,19,2271,11064,1629,-12,8242,0
02:20,0,1959,992,337,233,316,18,2271,11196,1569,-54,8115,0
02:25,0,2001,992,337,233,310,18,2271,11122,1529,-54,8085,0
02:30,0,2059,993,338,233,305,18,2272,10930,1525,-64,8131,0
02:35,0,2065,993,337,233,305,18,2272,10733,1527,-55,8210,0
02:40,0,2008,994,337,233,306,19,2272,10710,1518,-54,8219,0
02:45,0,1934,992,336,233,306,17,2271,10865,1558,-20,7996,0
02:50,0,1859,993,338,233,307,19,2271,10926,1553,-3,7880,0
02:55,0,1788,994,338,233,308,19,2271,10987,1571,-21,7829,0
03:00,0,1736,994,337,233,306,19,2272,11019,1581,-48,7800,0
03:05,0,1680,994,337,234,306,19,2271,10894,1600,-47,7907,0
03:10,0,1621,994,337,233,307,19,2270,10792,1605,-33,7989,0
03:15,0,1580,993,336,233,307,19,2272,10727,1632,-11,7996,0
03:20,0,1522,993,339,233,309,19,2271,10771,1620,-2,7939,0
03:25,0,1486,994,337,230,310,19,2272,10887,1623,-14,7845,0
03:30,0,1466,993,333,231,307,19,2271,10837,1582,-35,7942,0
03:35,0,1434,994,335,231,306,19,2272,10823,1590,-29,7939,0
03:40,0,1401,993,335,231,309,19,2271,10783,1597,-16,7977,0
03:45,0,1382,993,336,231,309,19,2271,10769,1585,-17,7963,0
03:50,0,1360,994,338,231,309,20,2271,10799,1558,-12,7975,0
03:55,0,1330,994,335,231,310,20,2271,10835,1556,-24,7990,0
04:00,0,1292,994,334,231,309,19,2272,10885,1522,-57,8034,0
04:05,0,1228,994,334,231,317,19,2271,10970,1440,-22,8080,0
04:10,0,1185,995,333,233,317,19,2270,10928,1433,5,8234,0
04:15,0,1147,995,333,234,318,19,2272,10959,1431,12,8202,0
04:20,0,1152,995,332,234,315,19,2272,11054,1409,19,8110,0
04:25,0,1146,995,334,235,315,20,2272,11182,1407,-1,8093,0
04:30,0,1108,994,331,234,315,19,2272,11324,1415,-33,8012,0
04:35,0,1089,995,332,234,313,20,2272,11477,1406,-42,7987,0
04:40,0,1080,994,333,234,314,20,2272,11525,1415,-32,7952,0
04:45,0,1071,995,334,234,314,20,2272,11603,1438,-49,7897,0
04:50,0,1061,994,334,234,315,20,2272,11644,1430,-52,7849,0
04:55,0,1056,995,334,234,316,20,2272,11632,1411,-47,7932,0
05:00,0,1049,996,334,234,316,20,2272,11603,1387,-42,8059,0
05:05,0,1032,996,336,234,314,20,2272,11785,1528,-31,8051,0
05:10,0,1016,994,333,233,323,21,2272,11706,1614,-6,8079,0
05:15,0,1015,995,331,234,348,20,2272,11657,1622,-8,8128,0
05:20,0,1031,995,330,234,352,19,2272,11713,1612,-1,8152,0
05:25,0,1056,995,330,234,352,19,2272,11801,1593,-34,8215,0
05:30,0,1068,994,331,233,350,19,2273,11929,1589,-40,8250,0
05:35,0,1009,993,335,234,350,19,2272,11906,1702,-24,8325,0
05:40,0,930,995,333,233,350,20,2272,11856,1801,20,8411,0
05:45,0,910,995,331,234,350,20,2273,11816,1859,35,8488,0
05:50,0,915,996,334,233,351,20,2272,11927,1875,39,8438,0
05:55,0,935,994,337,233,350,20,2273,11992,1854,22,8453,0
06:00,0,967,997,336,233,353,18,2272,12089,1863,-17,8437,0
06:05,0,1018,996,340,234,352,18,2272,12241,2027,13,8333,0
06:10,0,1091,996,339,234,354,18,2272,12239,2089,12,8476,0
06:15,0,1085,995,344,234,353,18,2272,12252,2152,29,8422,0
06:20,14,1019,996,344,234,354,19,2272,12255,2172,-11,8444,0
06:25,67,972,996,349,234,355,17,2272,12279,2166,-11,8430,0
06:30,142,947,997,347,234,355,19,2272,12283,2174,-6,8425,0
06:35,254,909,996,348,233,359,20,2273,12372,2174,-16,8364,0
06:40,404,919,996,349,234,359,19,2271,12406,2168,-28,8323,0
06:45,577,897,998,351,234,358,19,2272,12353,2138,-25,8322,0
06:50,772,861,997,356,233,358,19,2272,12328,2131,-56,8299,0
06:55,983,835,997,346,231,344,19,2272,12283,2096,-64,8349,0
07:00,1226,858,997,335,229,319,19,2272,12180,2041,-38,8348,0
07:05,1520,844,996,336,228,316,19,2273,12136,1939,-35,8438,0
07:10,1810,828,996,334,227,316,19,2272,12164,1872,-34,8525,0
07:15,2090,846,996,338,228,316,19,2272,12120,1853,-34,8434,0
07:20,2349,843,996,347,229,318,19,2273,11942,1890,-29,8357,0
07:25,2659,836,996,348,229,319,19,2273,11749,1897,-25,8287,0
07:30,2949,826,996,347,229,287,19,2273,11776,1849,-39,8178,0
07:35,3216,841,995,350,229,263,19,2273,11778,1772,-40,8139,0
07:40,3548,889,995,350,229,262,18,2273,11608,1762,-40,8069,0
07:45,3858,922,995,350,228,262,19,2273,11523,1743,-39,7912,0
07:50,4146,927,995,351,228,259,19,2273,11502,1716,-41,7692,0
07:55,4417,901,994,352,228,259,19,2273,11504,1698,-41,7519,0
08:00,4789,858,992,354,227,254,19,2273,11543,1827,-13,7161,0
08:05,5278,803,994,356,228,254,20,2273,11318,1890,-1,7067,0
08:10,5581,748,994,353,229,257,18,2272,11364,1849,1,6977,0
08:15,5761,723,994,354,229,258,19,2273,11492,1753,-2,6903,0
08:20,6036,694,993,354,228,260,18,2272,11526,1693,-46,6890,0
08:25,6287,663,992,354,228,260,20,2274,11563,1661,-38,6759,0
08:30,6511,634,993,353,228,257,19,2273,11632,1709,-18,6522,0
08:35,6739,617,993,351,228,258,20,2273,11496,1742,-8,6523,0
08:40,7033,597,992,348,230,257,20,2273,11324,1728,-6,6500,0
08:45,7267,576,990,331,229,257,19,2273,11339,1715,-23,6365,0
08:50,7429,567,991,326,229,257,19,2273,11384,1692,-31,6271,0
08:55,7568,557,991,325,228,259,20,2272,11411,1698,-25,6212,0
09:00,7774,541,990,325,228,259,19,2272,11417,1762,-27,6053,0
09:05,7919,516,990,327,228,257,18,2273,11405,1809,-23,5888,0
09:10,8003,505,989,329,229,257,18,2273,11437,1837,-10,5856,0
09:15,8173,493,989,329,229,256,18,2273,11498,1882,1,5644,0
09:20,8352,470,989,327,230,257,19,2273,11599,1885,1,5491,0
09:25,8491,444,988,327,229,257,18,2273,11680,1900,3,5412,0
09:30,8553,429,988,328,229,258,18,2273,11919,1886,2,5225,0
09:35,8657,410,987,328,229,258,18,2272,12049,1877,1,5104,0
09:40,8777,393,988,328,229,258,19,2272,12081,1862,-7,5069,0
09:45,8909,387,987,326,229,258,19,2272,12314,1843,-18,4903,0
09:50,8988,385,987,323,229,257,19,2272,12357,1862,21,4843,0
09:55,9069,389,986,323,229,257,19,2272,12425,1882,21,4822,0
10:00,9150,395,987,321,229,257,19,2273,12566,1965,19,4639,0
10:05,9198,402,985,321,230,256,19,2272,12610,2087,-17,4616,0
10:10,9263,409,985,321,229,267,20,2272,12630,2209,-8,4630,0
