Time,Solar,Wind,Geothermal,Biomass,Biogas,Small hydro,Coal,Nuclear,Natural gas,Large hydro,Batteries,Imports,Other
00:00,0,1272,962,348,234,185,14,2218,8232,1068,-34,7487,0
00:05,0,1275,963,348,235,187,15,2219,8023,1140,7,7509,0
00:10,0,1286,963,349,234,187,15,2219,7703,1167,0,7649,0
00:15,0,1263,963,347,235,183,15,2218,7450,1174,18,7838,0
00:20,0,1249,963,340,235,184,15,2219,7358,1201,68,7789,0
00:25,0,1272,963,343,235,183,15,2219,7221,1185,33,7796,0
00:30,0,1310,963,347,235,183,15,2218,7231,1165,-11,7743,0
00:35,0,1359,963,346,235,182,15,2219,7220,1136,-30,7683,0
00:40,0,1389,962,347,235,182,15,2219,7217,1127,-44,7631,0
00:45,0,1392,962,347,235,184,15,2219,7203,1135,-32,7528,0
00:50,0,1468,963,345,235,184,16,2218,7144,1136,-25,7352,0
00:55,0,1559,963,346,235,184,15,2219,7094,1107,-45,7281,0
01:00,0,1641,963,348,235,184,16,2218,7051,1014,-39,7179,0
01:05,0,1665,963,346,235,184,16,2218,7077,894,-34,7182,0
01:10,0,1622,963,347,234,184,16,2217,7077,870,-22,7186,0
01:15,0,1604,964,348,234,182,16,2219,7060,861,-11,7117,0
01:20,0,1593,963,349,234,181,15,2218,7011,872,4,7089,0
01:25,0,1589,963,348,234,182,15,2218,6956,873,4,7079,0
01:30,0,1614,962,349,233,182,15,2219,6995,872,-6,6959,0
01:35,0,1577,962,347,233,182,15,2218,6898,874,-1,7025,0
01:40,0,1542,963,350,233,182,16,2218,6772,859,9,7139,0
01:45,0,1496,963,347,234,181,16,2219,6758,860,3,7132,0
01:50,0,1518,963,346,233,181,16,2219,6745,852,-3,7095,0
01:55,0,1536,962,348,233,174,16,2220,6784,852,-8,6991,0
02:00,0,1546,961,347,233,172,17,2219,6719,839,-2,6965,0
02:05,0,1541,962,347,233,154,17,2218,6692,823,-2,6995,0
02:10,0,1564,962,347,233,161,16,2218,6685,792,-4,6956,0
02:15,0,1599,962,347,234,156,16,2219,6645,787,-5,6947,0
02:20,0,1612,964,344,234,137,16,2219,6573,788,-9,6901,0
02:25,0,1525,963,346,233,139,16,2218,6574,796,0,6960,0
