Time,Solar,Wind,Geothermal,Biomass,Biogas,Small hydro,Coal,Nuclear,Natural Gas,Large Hydro,Batteries,Imports,Other
00:00,-31,1206,769,209,169,197,-1,2269,10136,1826,46,5566,0
00:05,-31,1203,770,212,168,197,-1,2270,10470,1689,112,5556,0
00:10,-31,1213,773,213,167,198,-1,2271,10584,1711,162,5446,0
00:15,-31,1223,768,213,167,198,-1,2269,10617,1737,139,5387,0
00:20,-31,1216,768,210,167,198,-1,2270,10640,1737,85,5386,0
00:25,-31,1198,769,209,167,197,-1,2270,10634,1726,34,5408,0
00:30,-31,1185,768,210,167,197,-1,2270,10595,1720,27,5378,0
00:35,-31,1171,769,211,167,196,-1,2270,10588,1711,24,5330,0
00:40,-31,1163,768,211,167,196,-1,2269,10589,1701,-51,5346,0
00:45,-31,1166,768,211,167,196,-1,2269,10588,1637,-88,5377,0
00:50,-31,1160,766,211,167,196,-1,2269,10604,1521,-100,5414,0
00:55,-31,1149,767,212,167,196,-1,2269,10605,1479,-130,5446,0
01:00,-31,1150,767,211,168,196,-1,2269,10604,1422,-105,5390,0
01:05,-31,1191,767,211,167,196,-1,2269,10560,1479,-114,5487,0
01:10,-31,1203,767,211,167,197,-1,2268,10485,1592,-55,5530,0
01:15,-32,1200,767,210,167,198,-1,2268,10437,1601,-16,5469,0
01:20,-32,1185,766,210,167,198,-1,2269,10459,1486,100,5354,0
01:25,-32,1168,767,208,167,197,-1,2269,10554,1413,36,5369,0
01:30,-31,1156,766,207,166,197,-1,2270,10572,1385,-1,5376,0
01:35,-32,1134,766,209,166,197,-1,2269,10592,1385,-53,5361,0
01:40,-32,1119,766,208,166,197,-1,2269,10608,1385,-80,5343,0
01:45,-32,1116,765,209,166,197,-1,2269,10604,1378,-124,5345,0
01:50,-32,1105,765,210,167,196,-1,2269,10586,1380,-152,5336,0
01:55,-32,1094,764,212,167,196,-1,2269,10436,1388,-134,5410,0
02:00,-32,1102,764,212,167,197,-1,2270,10141,1392,-17,5548,0
02:05,-32,1102,764,213,167,197,-1,2269,10071,1475,-85,5532,0
02:10,-32,1094,764,212,167,197,-1,2269,10179,1546,-222,5429,0
02:15,-32,1088,764,213,167,196,-1,2269,10297,1542,-286,5338,0
02:20,-32,1066,764,213,167,197,-1,2269,10309,1544,-329,5363,0
02:25,-32,1031,764,214,167,197,-1,2269,10329,1452,-277,5334,0
02:30,-32,998,763,212,167,197,-1,2269,10347,1383,-229,5340,0
02:35,-32,979,764,214,167,197,-1,2269,10360,1380,-250,5314,0
02:40,-32,962,764,217,167,198,-1,2269,10366,1378,-264,5286,0
02:45,-32,967,764,215,167,198,-1,2268,10363,1379,-271,5276,0
02:50,-32,967,764,215,167,198,-1,2269,10363,1371,-270,5263,0
02:55,-32,944,764,215,167,198,-1,2268,10358,1371,-273,5230,0
03:00,-32,936,764,214,167,198,-1,2269,10361,1355,-235,5181,0
03:05,-32,935,764,217,167,198,-1,2268,10373,1337,-158,5193,0
03:10,-32,923,763,218,167,199,-1,2267,10395,1323,-74,5114,0
03:15,-32,908,763,216,167,198,-1,2268,10368,1398,-56,5025,0
03:20,-32,901,763,215,167,198,-1,2267,10382,1374,-46,5027,0
03:25,-32,872,763,215,167,197,-1,2267,10383,1347,-14,5006,0
03:30,-32,846,763,216,167,197,-1,2268,10375,1383,-7,5003,0
03:35,-32,814,763,216,167,197,-1,2268,10376,1483,-28,4981,0
03:40,-32,779,763,217,167,196,-1,2268,10390,1515,-5,4912,0
03:45,-31,751,762,216,168,197,-1,2268,10420,1526,11,4899,0
03:50,-31,722,761,216,167,197,-1,2268,10509,1520,-6,4889,0
03:55,-32,656,761,217,167,197,-1,2269,10625,1530,-69,4837,0
04:00,-32,633,761,215,167,198,-1,2268,10698,1568,-119,4845,0
04:05,-32,614,761,216,167,198,-1,2268,10651,1591,40,4779,0
04:10,-32,606,762,215,167,198,-1,2268,10653,1602,71,4827,0
