Time,Solar,Wind,Geothermal,Biomass,Biogas,Small hydro,Coal,Nuclear,Natural Gas,Large Hydro,Batteries,Imports,Other
00:00,-9,3536,792,55,132,260,-1,2278,3774,3197,536,4916,0
00:05,-9,3548,799,50,133,259,0,2277,3770,3030,1026,4910,0
00:10,-9,3572,800,50,133,254,-1,2280,3775,2969,1108,4928,0
00:15,-9,3615,799,51,132,251,-1,2278,3815,2963,945,5014,0
00:20,-9,3646,796,50,132,251,-1,2279,3822,2979,841,5006,0
00:25,-9,3589,798,51,132,250,-1,2278,3851,2957,766,5038,0
00:30,-9,3519,801,51,132,250,-1,2278,3873,2988,782,5009,0
00:35,-10,3458,802,51,132,250,-1,2278,3823,3007,744,5033,0
00:40,-10,3411,803,51,132,250,-1,2279,3825,2999,664,5076,0
00:45,-9,3375,805,51,132,249,0,2278,3842,2993,602,5090,0
00:50,-9,3378,805,50,132,249,-1,2279,3849,2955,577,5037,0
00:55,-10,3357,801,51,132,249,0,2279,3869,2962,549,4998,0
01:00,-9,3372,790,51,132,249,0,2278,3869,2965,500,4989,0
01:05,-9,3400,789,51,132,250,1,2278,3854,2924,519,4979,0
01:10,-9,3402,793,52,132,250,0,2279,3853,2846,527,5037,0
01:15,-9,3379,790,51,132,250,1,2278,3853,2828,453,5066,0
01:20,-9,3338,790,51,133,251,0,2278,3842,2812,337,5179,0
01:25,-9,3308,789,51,132,250,-1,2278,3816,2812,295,5225,0
01:30,-9,3319,788,50,132,250,-1,2278,3808,2824,261,5208,0
01:35,-9,3292,787,50,132,250,-1,2278,3801,2810,259,5192,0
01:40,-9,3253,787,50,132,250,0,2278,3796,2814,245,5172,0
01:45,-9,3201,786,51,131,250,0,2278,3786,2786,200,5212,0
01:50,-9,3192,787,51,132,250,0,2280,3771,2785,113,5289,0
01:55,-9,3177,785,51,132,250,0,2279,3770,2815,100,5246,0
02:00,-9,3149,786,51,132,250,0,2279,3769,2821,143,5190,0
02:05,-10,3059,786,51,131,250,0,2278,3755,2839,267,5121,0
02:10,-10,3006,786,51,131,252,0,2281,3747,2822,318,5088,0
02:15,-11,2958,786,50,131,252,-1,2279,3739,2809,383,5084,0
02:20,-11,2937,786,50,130,251,0,2280,3757,2828,385,5062,0
02:25,-10,2944,786,50,130,251,-1,2280,3765,2826,369,5013,0
02:30,-10,2978,786,51,130,251,-1,2280,3776,2826,289,5050,0
02:35,-10,2979,786,50,131,251,0,2280,3790,2822,215,5087,0
02:40,-10,2981,785,50,131,251,0,2279,3794,2791,213,5097,0
02:45,-11,2925,786,51,132,251,0,2279,3775,2818,217,5127,0
02:50,-10,2891,785,51,132,251,-1,2280,3760,2869,241,5077,0
02:55,-10,2875,785,51,132,250,-1,2280,3753,2909,212,5085,0
03:00,-11,2832,785,52,132,251,-1,2280,3734,2909,141,5178,0
03:05,-10,2773,785,51,132,250,0,2280,3728,2912,26,5332,0
03:10,-10,2733,785,50,132,250,0,2279,3704,2927,76,5362,0
03:15,-10,2685,784,50,132,251,0,2280,3714,2950,103,5325,0
03:20,-10,2631,784,51,132,251,0,2280,3729,2931,147,5295,0
03:25,-10,2599,786,52,132,251,0,2280,3740,2928,119,5321,0
03:30,-10,2578,785,52,132,251,-1,2280,3753,2882,249,5281,0
03:35,-9,2599,785,51,132,250,-1,2279,3757,2886,305,5241,0
03:40,-9,2624,785,52,132,250,-1,2280,3765,2926,203,5255,0
