Time,Biogas CO2,Biomass CO2,Natural Gas CO2,Coal CO2,Imports CO2,Geothermal CO2
00:00,125,174,4539,15,4470,10
00:05,124,175,4478,16,4496,10
00:10,124,174,4405,17,4638,10
00:15,124,172,4527,16,4510,10
00:20,123,170,4579,16,4407,9
00:25,123,172,4629,16,4338,9
00:30,123,172,4653,15,4321,9
00:35,123,174,4539,15,4356,9
00:40,123,174,4279,16,4522,9
00:45,124,175,4213,16,4563,10
00:50,125,176,4235,15,4621,10
00:55,124,174,4193,15,4543,10
01:00,124,174,4223,15,4496,10
01:05,124,174,4374,15,4386,10
01:10,125,176,4451,15,4424,10
01:15,124,175,4452,15,4335,10
01:20,124,174,4431,15,4271,10
01:25,124,174,4391,15,4307,10
01:30,124,174,4355,15,4321,10
01:35,125,173,4324,15,4325,10
01:40,124,174,4208,15,4353,10
01:45,124,174,4144,15,4391,10
01:50,124,175,4112,15,4385,10
01:55,124,174,4051,16,4335,10
02:00,123,172,3993,15,4277,10
02:05,122,172,3982,15,4271,10
02:10,122,172,3991,15,4285,10
02:15,122,171,3940,15,4291,9
02:20,122,171,3881,15,4329,10
02:25,123,172,3896,15,4299,10
02:30,123,171,3848,15,4309,10
02:35,122,171,3803,15,4308,9
02:40,123,171,3756,15,4276,10
02:45,123,172,3737,15,4286,10
02:50,123,172,3716,15,4309,10
02:55,124,173,3695,15,4335,10
03:00,124,173,3715,15,4314,10
03:05,124,173,3772,15,4278,10
03:10,124,173,3732,15,4238,10
03:15,123,171,3695,16,4189,10
03:20,122,170,3681,16,4186,10
03:25,122,169,3660,16,4195,10
03:30,122,167,3657,16,4173,10
03:35,122,166,3657,16,4168,10
03:40,122,165,3651,16,4164,10
03:45,122,165,3651,16,4138,10
03:50,122,168,3642,16,4134,10
03:55,123,170,3630,16,4135,10
04:00,123,172,3638,16,4123,10
04:05,123,173,3672,17,4107,10
04:10,123,172,3645,17,4134,10
04:15,123,172,3622,17,4149,10
04:20,123,172,3677,16,4159,10
04:25,123,173,3694,16,4162,10
04:30,123,174,3722,16,4150,10
04:35,123,173,3755,16,4129,10
04:40,123,174,3721,16,4175,10
04:45,123,174,3715,16,4200,10
04:50,123,174,3721,16,4195,10
04:55,123,175,3714,16,4216,10
05:00,123,174,3649,16,4266,10
05:05,123,175,3662,16,4281,10
05:10,123,176,3627,16,4314,10
05:15,123,176,3586,17,4317,10
05:20,123,177,3606,16,4303,10
05:25,123,177,3646,16,4285,10
05:30,123,177,3656,17,4270,10
05:35,122,177,3680,16,4255,10
05:40,122,176,3693,16,4282,10
05:45,123,176,3704,16,4269,10
05:50,123,176,3691,16,4296,10
05:55,123,177,3693,16,4296,10
06:00,123,177,3718,16,4262,10
06:05,123,179,3746,16,4279,10
06:10,123,182,3853,16,4240,10
06:15,123,183,3855,16,4145,10
