Time,Biogas CO2,Biomass CO2,Natural Gas CO2,Coal CO2,Imports CO2,Geothermal CO2
00:00,86,89,4792,-1,3003,6
00:05,85,89,4525,-1,3195,6
00:10,85,90,4311,-1,3436,6
00:15,86,90,4080,-1,3426,6
00:20,87,90,3978,-1,3501,6
00:25,87,91,4031,-1,3524,6
00:30,87,91,4112,-1,3446,6
00:35,87,91,4158,-1,3458,6
00:40,87,91,4165,-1,3463,6
00:45,87,91,4107,-1,3495,6
00:50,87,91,4037,-1,3525,6
00:55,88,92,3990,-1,3502,6
01:00,88,92,4015,-1,3497,6
01:05,88,92,4019,-1,3461,6
01:10,87,93,3981,-1,3467,6
01:15,87,92,4003,-1,3393,6
01:20,87,91,4002,-1,3347,6
01:25,86,91,3979,-1,3342,6
01:30,86,91,3973,-1,3348,6
01:35,86,92,3992,-1,3336,6
01:40,86,92,3987,-1,3336,6
01:45,86,92,3965,-1,3332,6
01:50,86,91,3952,-1,3337,6
01:55,86,92,3937,-1,3354,6
02:00,86,91,3972,-1,3365,6
02:05,87,93,3960,-1,3393,6
02:10,86,92,3934,-1,3422,6
02:15,87,93,3939,-1,3427,6
02:20,87,93,3921,-1,3398,6
02:25,86,93,3781,-1,3419,6
02:30,85,93,3780,-1,3377,6
02:35,85,92,3755,-1,3352,6
02:40,85,92,3750,-1,3348,6
02:45,86,93,3775,-1,3320,6
02:50,86,93,3766,-1,3289,6
02:55,86,94,3726,-1,3327,6
03:00,86,93,3712,-1,3317,6
03:05,86,93,3737,-1,3312,6
03:10,86,92,3750,-1,3366,6
03:15,86,92,3756,-1,3350,6
03:20,86,93,3740,-1,3333,6
03:25,86,93,3741,-1,3330,6
03:30,86,93,3758,-1,3267,6
03:35,85,93,3777,-1,3210,6
03:40,85,92,3819,-1,3219,6
03:45,85,92,3812,-1,3212,6
03:50,85,92,3837,-1,3209,6
03:55,85,93,3824,-1,3224,6
04:00,85,92,3822,-1,3238,6
04:05,85,92,3782,-1,3230,6
04:10,86,93,3798,-1,3238,6
04:15,87,94,3890,-1,3300,6
04:20,88,96,3928,-1,3305,6
04:25,88,96,3884,-1,3322,6
04:30,88,96,3895,-1,3308,6
04:35,88,95,4037,-1,3249,6
04:40,89,96,4153,-1,3315,6
04:45,89,96,4115,-1,3301,6
04:50,89,96,4137,-1,3246,6
04:55,89,96,4152,-1,3154,6
05:00,89,95,4174,-1,3081,6
05:05,89,95,4197,-1,3062,6
05:10,89,95,4201,-1,3119,6
05:15,89,95,4211,-1,3075,6
05:20,89,95,4220,-1,2967,6
05:25,88,95,4233,-1,2948,6
05:30,89,95,4356,-1,2925,6
05:35,92,98,4533,-1,2947,7
05:40,91,99,4387,-1,2872,7
05:45,89,95,4424,-1,2753,6
05:50,88,95,4457,-1,2734,6
05:55,88,95,4489,-1,2723,6
06:00,88,95,4549,-1,2759,6
06:05,89,97,4623,-1,2710,6
