Time,Biogas CO2,Biomass CO2,Natural Gas CO2,Coal CO2,Imports CO2,Geothermal CO2
00:00,105,153,5223,8,2603,8
00:05,107,153,5086,9,2748,8
00:10,108,153,4969,9,2993,8
00:15,109,154,4987,8,3044,8
00:20,110,155,4928,8,3093,8
00:25,110,155,4898,9,3133,8
00:30,110,156,4864,8,3137,8
00:35,111,157,4835,8,3151,9
00:40,111,157,4805,8,3173,9
00:45,112,156,4780,8,3170,9
00:50,112,157,4740,8,3180,9
00:55,112,158,4708,8,3171,9
01:00,112,158,4702,8,3156,9
01:05,113,158,4667,8,3173,9
01:10,113,158,4763,8,3213,9
01:15,112,157,4700,8,3202,9
01:20,112,158,4639,8,3211,9
01:25,112,157,4544,8,3251,9
01:30,112,158,4492,8,3260,9
01:35,112,158,4469,8,3239,9
01:40,112,158,4460,8,3211,9
01:45,112,158,4445,8,3214,9
01:50,112,157,4383,8,3179,9
01:55,112,157,4365,8,3129,9
02:00,112,157,4319,8,3114,9
02:05,112,158,4290,8,3115,9
02:10,112,158,4114,8,3266,9
02:15,112,158,4068,9,3302,9
02:20,112,158,3989,9,3379,9
02:25,113,159,3897,9,3431,9
02:30,113,159,3862,9,3439,9
02:35,113,159,3862,9,3444,9
02:40,113,159,3913,9,3409,9
02:45,113,159,3893,8,3409,9
02:50,113,159,3872,8,3398,9
02:55,113,159,3857,9,3387,9
03:00,113,159,3834,9,3389,9
03:05,113,160,3838,9,3379,9
03:10,114,160,3858,9,3388,9
03:15,114,160,3885,9,3394,9
03:20,114,159,3908,9,3403,9
03:25,114,158,3880,9,3394,9
03:30,114,158,3876,9,3382,9
03:35,114,158,3892,9,3389,9
03:40,114,158,3922,8,3377,9
03:45,113,158,3929,8,3351,9
03:50,113,158,3959,9,3321,9
03:55,113,157,3931,9,3316,9
04:00,113,157,3935,8,3336,9
04:05,113,157,3970,9,3331,9
04:10,113,157,3984,9,3341,9
04:15,113,157,3972,9,3371,9
04:20,113,157,3977,9,3407,9
04:25,113,157,3983,9,3408,9
04:30,112,157,3995,9,3404,9
04:35,112,157,4017,9,3387,9
04:40,112,157,4079,9,3417,9
04:45,112,157,4076,9,3411,9
