Time,Biogas CO2,Biomass CO2,Natural Gas CO2,Coal CO2,Imports CO2,Geothermal CO2
00:00,135,175,2703,12,3600,10
00:05,135,173,2703,13,3615,10
00:10,136,172,2714,13,3772,10
00:15,136,171,2796,13,3696,10
00:20,137,171,2770,13,3702,10
00:25,136,171,2710,13,3713,10
00:30,136,170,2672,12,3713,10
00:35,136,171,2637,12,3706,10
00:40,136,170,2637,12,3680,10
00:45,136,171,2652,12,3645,10
00:50,136,171,2673,12,3652,10
00:55,136,171,2646,12,3610,10
01:00,135,170,2592,12,3578,10
01:05,136,169,2552,12,3609,10
01:10,136,167,2544,12,3644,10
01:15,136,167,2508,13,3649,10
01:20,136,166,2518,13,3640,10
01:25,136,166,2492,13,3614,10
01:30,136,166,2513,13,3568,10
01:35,136,167,2506,13,3533,10
01:40,136,166,2524,13,3556,10
01:45,135,167,2617,13,3666,10
01:50,135,166,2603,13,3626,10
01:55,135,165,2592,13,3621,10
02:00,136,165,2572,13,3608,10
02:05,136,165,2565,13,3598,10
02:10,135,164,2535,13,3574,10
02:15,135,164,2512,13,3574,10
02:20,135,164,2500,13,3563,10
02:25,135,163,2495,13,3545,10
02:30,135,163,2483,13,3542,10
02:35,135,163,2470,13,3523,10
02:40,135,164,2449,13,3513,10
02:45,135,163,2433,13,3509,10
02:50,135,164,2419,13,3476,10
02:55,135,164,2404,13,3468,10
03:00,135,164,2395,13,3486,10
03:05,135,163,2426,13,3454,10
03:10,135,163,2509,13,3429,10
03:15,135,163,2524,13,3423,10
03:20,136,163,2534,13,3434,10
03:25,135,162,2537,13,3423,10
03:30,136,162,2563,13,3422,10
03:35,135,163,2605,13,3387,10
03:40,135,164,2657,13,3374,10
03:45,135,163,2751,13,3360,10
03:50,135,164,2779,13,3356,10
03:55,135,165,2778,13,3337,10
04:00,135,166,2784,14,3306,10
04:05,135,165,2799,14,3325,10
04:10,135,166,2826,14,3319,10
04:15,135,166,2802,14,3366,10
04:20,135,166,2788,14,3399,10
04:25,135,166,2654,14,3300,10
04:30,135,167,2602,14,3333,10
04:35,135,166,2606,14,3345,10
04:40,135,166,2586,14,3389,10
04:45,136,166,2632,14,3394,10
04:50,135,166,2664,14,3401,10
