Time,Biogas CO2,Biomass CO2,Natural Gas CO2,Coal CO2,Imports CO2,Geothermal CO2
00:00,131,167,1467,13,4257,9
00:05,131,167,1482,14,4151,9
00:10,131,165,1462,14,4172,9
00:15,130,162,1460,13,4114,9
00:20,130,162,1426,15,4088,9
00:25,130,164,1419,14,4089,9
00:30,131,166,1435,15,4058,9
00:35,132,166,1433,15,4012,10
00:40,131,166,1427,15,3968,10
00:45,132,166,1430,13,3935,10
00:50,132,166,1429,13,3904,10
00:55,132,166,1430,14,3852,10
01:00,132,166,1435,14,3822,10
01:05,132,166,1418,14,3766,10
01:10,132,167,1392,14,3800,10
01:15,132,167,1416,14,3740,10
01:20,132,166,1397,14,3726,10
01:25,132,167,1342,15,3760,10
01:30,133,167,1306,15,3761,10
01:35,133,167,1327,15,3752,10
01:40,133,168,1282,15,3755,10
01:45,132,167,1271,15,3695,10
01:50,133,168,1265,15,3669,10
01:55,134,169,1275,14,3659,10
02:00,134,169,1244,14,3648,10
02:05,134,169,1186,14,3655,10
02:10,134,169,1176,14,3709,10
02:15,134,169,1145,13,3749,10
02:20,135,170,1101,14,3798,10
02:25,136,171,1071,14,3798,10
02:30,136,172,1077,14,3802,10
02:35,136,172,1071,13,3759,10
02:40,136,172,1077,13,3744,10
02:45,136,171,1084,14,3751,10
02:50,136,171,1057,15,3751,10
02:55,136,172,1053,15,3767,10
03:00,136,172,1057,15,3770,10
03:05,136,172,1050,15,3770,10
03:10,137,171,1039,15,3799,10
03:15,137,172,1029,15,3837,10
03:20,138,173,1034,16,3857,10
03:25,138,174,1036,16,3875,10
03:30,138,174,1036,16,3899,10
03:35,139,175,1043,16,3890,10
03:40,138,176,1045,16,3901,10
03:45,139,176,1053,16,3915,10
03:50,138,176,1061,16,3904,10
03:55,139,175,1062,17,3908,10
04:00,138,175,1079,16,3910,10
04:05,138,175,1087,16,3869,10
04:10,138,177,1084,16,3903,10
04:15,139,178,1083,16,3888,10
04:20,140,178,1053,16,3933,10
04:25,140,178,1027,16,3977,10
04:30,141,180,945,16,4061,10
04:35,142,182,922,15,4154,10
04:40,142,182,948,16,4131,10
04:45,142,181,979,16,4139,10
04:50,141,179,990,15,4156,10
04:55,139,177,1052,15,4080,10
05:00,138,177,1063,15,4085,10
05:05,137,175,1095,15,4095,10
05:10,137,177,1158,15,4001,10
05:15,138,178,1104,16,4084,10
05:20,138,180,1057,17,4177,10
05:25,140,181,1065,17,4293,10
05:30,140,182,1067,17,4335,10
05:35,140,182,1079,16,4334,10
05:40,140,182,1081,16,4372,10
05:45,140,182,1088,16,4389,10
05:50,140,182,1113,16,4394,10
