Time,Biogas CO2,Biomass CO2,Natural Gas CO2,Coal CO2,Imports CO2,Geothermal CO2
00:00,78,89,1929,0,2866,7
00:05,79,90,1898,0,2870,7
00:10,79,89,1833,0,2829,7
00:15,79,89,1833,0,2904,7
00:20,79,90,1831,0,2994,7
00:25,78,89,1845,0,2963,7
00:30,78,89,1857,0,2963,7
00:35,79,90,1851,0,3047,7
00:40,79,90,1854,-1,3009,7
00:45,79,91,1844,-1,3015,7
00:50,79,91,1850,0,3015,7
00:55,79,90,1839,-1,3038,7
01:00,79,90,1861,-1,3039,7
01:05,79,90,1893,-1,3043,7
01:10,79,90,1927,0,3073,7
01:15,79,90,1918,0,3073,7
01:20,79,90,1892,0,3057,7
01:25,79,90,1910,0,2954,7
01:30,79,89,1906,0,2942,7
01:35,79,88,1924,0,2945,7
01:40,78,87,1907,0,2962,7
01:45,78,87,1905,0,2961,7
01:50,78,88,1889,0,2945,7
01:55,77,86,1794,0,2956,7
02:00,76,84,1775,0,2870,6
02:05,75,84,1802,0,2789,6
02:10,75,84,1823,0,2856,6
02:15,75,85,1828,0,2884,6
02:20,75,84,1824,0,2843,6
02:25,75,84,1832,0,2838,6
02:30,76,84,1842,0,2832,6
02:35,76,84,1854,0,2811,6
02:40,76,85,1858,0,2788,6
02:45,75,84,1867,0,2793,6
02:50,76,85,1865,0,2780,6
02:55,76,84,1867,0,2787,6
03:00,76,84,1871,0,2756,6
03:05,76,85,1846,1,2749,6
03:10,76,86,1833,1,2865,6
03:15,76,87,1821,1,2862,6
03:20,75,86,1813,1,2868,6
03:25,75,86,1823,1,2796,6
03:30,75,86,1858,0,2748,6
03:35,75,85,1943,0,2693,6
03:40,77,87,2049,0,2743,7
03:45,78,91,2036,1,2771,7
03:50,77,89,2018,1,2736,7
03:55,76,88,2037,1,2733,6
04:00,77,89,2061,1,2747,7
04:05,77,90,2029,1,2743,7
04:10,77,89,2029,1,2691,7
04:15,78,90,2060,1,2701,7
04:20,77,89,2078,1,2639,7
04:25,77,90,2152,1,2588,7
04:30,77,90,2186,1,2554,7
04:35,77,90,2190,1,2584,7
