Time,Biogas CO2,Biomass CO2,Natural Gas CO2,Coal CO2,Imports CO2,Geothermal CO2
00:00,111,118,3827,12,2768,7
00:05,112,137,3876,12,2713,7
00:10,111,137,3913,12,2687,7
00:15,111,136,3916,12,2640,7
00:20,110,136,3878,12,2619,7
00:25,110,135,3842,12,2610,7
00:30,110,136,3809,12,2605,7
00:35,111,135,3790,12,2597,7
00:40,111,127,3781,12,2578,7
00:45,111,137,3782,12,2535,7
00:50,111,136,3782,12,2535,7
00:55,111,130,3765,11,2522,7
01:00,111,136,3776,12,2504,7
01:05,111,136,3756,12,2521,7
01:10,111,136,3740,11,2553,7
01:15,105,130,3710,12,2613,7
01:20,102,136,3676,11,2657,7
01:25,102,136,3649,11,2664,7
01:30,102,135,3643,11,2644,7
01:35,102,129,3645,12,2619,7
01:40,102,136,3673,11,2565,7
01:45,102,136,3683,11,2546,7
01:50,102,135,3680,11,2530,7
01:55,102,129,3685,11,2503,7
02:00,102,135,3689,11,2493,7
02:05,102,136,3663,11,2522,7
02:10,102,135,3660,11,2544,7
02:15,101,136,3696,12,2525,7
02:20,102,136,3688,12,2510,7
02:25,101,136,3662,12,2525,7
02:30,101,136,3666,12,2524,7
02:35,102,136,3662,11,2496,7
02:40,102,137,3657,11,2463,7
02:45,102,137,3651,11,2422,7
02:50,102,137,3644,12,2413,7
02:55,102,137,3649,11,2371,7
03:00,102,136,3623,12,2353,7
03:05,102,130,3638,12,2301,7
03:10,102,137,3615,12,2277,7
03:15,102,137,3611,12,2290,7
03:20,102,136,3611,13,2282,7
03:25,102,130,3595,12,2281,7
03:30,101,136,3606,13,2270,7
03:35,101,136,3595,12,2281,7
03:40,101,137,3578,12,2266,7
03:45,101,130,3514,12,2273,7
03:50,102,137,3510,13,2268,7
03:55,104,137,3508,13,2269,7
04:00,103,137,3506,12,2266,6
04:05,104,138,3506,12,2261,6
04:10,105,138,3508,13,2227,6
04:15,105,139,3542,12,2174,6
04:20,107,139,3580,13,2132,6
04:25,108,138,3575,13,2169,6
04:30,108,137,3637,13,2203,6
04:35,108,138,3683,13,2201,6
04:40,108,139,3726,13,2188,6
04:45,107,131,3729,13,2186,6
04:50,107,137,3775,13,2153,6
04:55,107,137,3794,13,2150,6
05:00,107,137,3801,13,2184,6
05:05,107,132,3809,13,2242,6
05:10,108,141,3803,13,2318,6
05:15,109,142,3776,13,2417,7
05:20,109,143,3791,13,2445,7
05:25,110,137,3830,13,2441,7
05:30,110,144,3837,13,2446,7
05:35,110,143,3932,13,2374,6
05:40,111,145,4100,13,2386,7
05:45,113,146,4168,14,2423,7
05:50,113,147,4234,14,2421,7
05:55,113,147,4308,14,2416,7
06:00,112,146,4278,14,2453,7
06:05,112,142,4307,14,2517,7
06:10,112,149,4356,14,2716,7
06:15,112,149,4292,14,2912,7
06:20,111,140,4279,12,2990,7
06:25,111,149,4368,13,2992,7
06:30,111,148,4400,13,2994,7
06:35,111,150,4450,14,2987,7
06:40,111,151,4473,14,3004,7
06:45,112,151,4495,14,3012,7
06:50,112,151,4493,14,3026,7
06:55,112,151,4464,13,3052,7
07:00,112,140,4482,14,3026,7
07:05,113,149,4507,14,3069,7
07:10,114,148,4469,14,3161,7
07:15,113,147,4509,14,3114,7
07:20,114,145,4440,13,3128,7
07:25,113,146,4473,14,3069,7
07:30,114,146,4475,14,3093,7
07:35,114,145,4458,14,3070,7
07:40,114,145,4415,14,3049,7
07:45,114,139,4426,13,2983,7
07:50,114,146,4439,14,2911,7
07:55,113,145,4315,14,2991,7
08:00,111,143,4266,14,2948,7
08:05,109,142,4203,14,2918,7
08:10,107,142,4224,14,2955,7
08:15,108,143,4254,14,2932,7
08:20,108,144,4252,14,2911,7
08:25,109,145,4308,14,2904,7
08:30,109,145,4333,14,2903,7
08:35,108,144,4300,14,2837,7
08:40,108,144,4300,13,2747,7
08:45,108,138,4245,13,2731,7
08:50,108,145,4314,13,2553,7
08:55,108,146,4377,13,2507,7
09:00,110,138,4438,13,2493,7
09:05,108,140,4386,13,2485,7
09:10,108,146,4276,14,2570,7
09:15,107,146,4257,14,2601,7
09:20,107,146,4246,14,2592,7
09:25,108,146,4198,14,2596,7
09:30,107,144,4113,14,2539,7
09:35,107,143,4121,14,2575,7
09:40,107,134,4050,14,2590,7
09:45,107,142,4029,14,2686,7
09:50,107,143,4019,15,2705,7
09:55,107,138,4021,13,2779,7
10:00,107,143,4066,12,2764,7
10:05,107,142,4128,14,2760,7
10:10,108,142,4122,14,2741,7
10:15,107,133,4162,14,2640,7
10:20,107,140,4141,13,2578,7
10:25,107,141,4147,14,2475,7
10:30,106,142,4161,13,2354,7
10:35,106,137,4198,14,2309,7
10:40,107,145,4191,14,2364,7
10:45,107,144,4127,15,2357,7
10:50,107,144,4102,15,2351,7
10:55,107,137,4095,15,2264,7
11:00,107,144,4117,15,2311,7
11:05,107,142,4074,15,2272,7
11:10,107,140,4018,16,2291,7
11:15,106,135,4015,15,2372,7
11:20,106,142,4008,16,2406,7
11:25,107,124,3958,15,2254,7
11:30,106,123,3932,15,2208,7
11:35,107,122,3829,15,2199,7
11:40,107,123,3768,15,2211,7
11:45,108,124,3806,15,2259,7
11:50,108,123,3844,15,2227,7
11:55,108,123,3805,14,2210,7
12:00,108,122,3799,14,2151,7
12:05,107,120,3750,13,2053,7
12:10,108,120,3757,13,2022,7
12:15,108,122,3717,13,1994,7
12:20,108,123,3738,13,2036,7
12:25,108,124,3780,13,2073,7
12:30,108,123,3761,12,2106,7
12:35,108,123,3753,13,2168,7
12:40,107,123,3786,14,2302,7
12:45,108,124,3858,13,2407,7
12:50,108,124,3963,13,2431,7
12:55,108,123,4028,13,2369,7
13:00,107,123,4138,11,2348,7
13:05,107,123,4161,12,2265,7
13:10,109,123,4191,10,2261,7
13:15,108,123,4190,12,2313,7
13:20,108,123,4172,13,2307,7
13:25,108,123,4120,13,2351,7
13:30,108,124,4139,13,2385,7
13:35,108,125,4123,14,2351,7
13:40,108,125,4105,13,2399,7
13:45,108,126,4155,13,2355,7
13:50,108,127,4183,13,2355,7
13:55,108,125,4203,14,2315,7
14:00,108,124,4213,13,2331,7
14:05,108,124,4244,13,2414,7
14:10,107,124,4229,13,2396,7
14:15,107,125,4256,13,2403,7
14:20,107,125,4307,13,2482,7
14:25,107,126,4312,12,2575,7
14:30,107,127,4386,12,2455,7
14:35,107,128,4416,13,2379,7
14:40,107,127,4485,13,2331,7
14:45,107,126,4444,13,2363,7
14:50,108,126,4448,13,2405,7
14:55,107,125,4569,13,2614,7
15:00,107,127,4596,13,2666,7
15:05,107,128,4564,13,2778,7
15:10,107,128,4531,12,2841,7
15:15,107,129,4537,12,2966,7
15:20,107,130,4569,12,3107,7
15:25,107,133,4598,13,3136,7
15:30,108,135,4465,12,3137,7
15:35,108,137,4610,13,3110,7
15:40,109,140,4715,13,3156,7
15:45,108,137,4722,13,3154,7
15:50,107,136,4773,12,3122,7
15:55,106,132,4816,12,3131,7
16:00,106,137,4834,12,3162,7
16:05,106,138,4788,12,3274,7
16:10,106,138,4741,12,3409,7
16:15,106,138,4679,12,3498,7
16:20,105,137,4657,12,3544,7
16:25,105,140,4755,12,3600,7
16:30,107,133,4812,12,3639,7
16:35,106,141,4914,12,3602,7
16:40,107,142,5042,12,3602,7
16:45,107,142,5134,12,3622,7
16:50,107,143,5180,12,3636,7
16:55,107,144,5286,12,3663,7
17:00,108,145,5308,11,3725,7
17:05,108,143,5339,11,3780,7
17:10,108,143,5329,11,3856,7
17:15,109,144,5356,11,3961,7
17:20,109,145,5344,11,4033,7
17:25,110,146,5536,11,4004,7
17:30,112,148,5616,12,4049,7
17:35,110,146,5573,14,3992,7
17:40,109,144,5524,14,3985,7
17:45,108,144,5491,14,4002,7
17:50,108,145,5502,14,4000,7
17:55,109,145,5559,14,4027,7
18:00,110,147,5544,13,4078,7
18:05,109,146,5482,12,4102,7
18:10,110,146,5457,13,4111,7
18:15,109,145,5514,13,4101,7
18:20,110,144,5524,13,4103,7
18:25,109,145,5515,13,4071,7
18:30,109,145,5481,12,4029,7
18:35,108,144,5429,13,4071,7
18:40,108,144,5446,12,4080,7
18:45,108,143,5402,11,4075,7
18:50,108,144,5401,11,4092,7
18:55,108,143,5386,11,4070,7
19:00,108,144,5353,12,4074,7
19:05,109,144,5326,12,4076,7
19:10,110,143,5275,11,4086,7
19:15,111,144,5270,11,4070,7
19:20,111,144,5247,12,4084,7
19:25,111,144,5244,12,4077,7
19:30,112,134,5242,11,4045,7
19:35,112,144,5239,11,4061,7
19:40,112,144,5197,12,4051,7
19:45,111,136,5216,11,4011,7
19:50,111,143,5230,11,4008,7
19:55,111,143,5181,11,4005,7
20:00,111,143,5143,12,4024,7
20:05,111,144,5144,11,3995,7
20:10,111,143,5169,11,3904,7
20:15,111,143,5189,11,3865,7
20:20,112,144,5259,11,3817,7
20:25,112,138,5300,11,3861,7
20:30,112,134,5293,11,3864,7
20:35,112,143,5241,11,3908,7
20:40,112,144,5224,11,3950,7
20:45,112,144,5129,11,3954,7
20:50,111,144,5071,11,3936,7
20:55,111,144,5079,11,3930,7
21:00,111,144,5075,11,3887,7
21:05,111,144,5085,11,3856,7
21:10,111,143,5014,12,3874,7
21:15,111,143,5004,12,3849,7
21:20,111,134,4999,12,3828,7
21:25,111,144,4985,12,3870,7
21:30,111,144,4985,12,3854,7
21:35,111,144,4953,12,3861,7
21:40,112,134,4860,12,3886,7
21:45,111,144,4814,13,3917,7
21:50,112,144,4764,13,3924,7
21:55,111,144,4776,13,3841,7
22:00,111,144,4788,13,3760,7
22:05,111,143,4845,12,3622,7
22:10,111,140,4836,12,3499,7
22:15,110,138,4906,12,3340,7
22:20,110,127,4911,12,3266,7
22:25,110,136,4868,12,3260,7
22:30,110,136,4888,12,3244,7
22:35,111,137,4871,12,3298,7
22:40,111,137,4814,12,3327,7
22:45,111,138,4750,12,3352,7
22:50,111,137,4708,12,3338,7
22:55,111,138,4689,13,3314,7
23:00,112,139,4642,12,3262,7
23:05,111,137,4620,12,3174,7
23:10,111,135,4640,12,3099,7
23:15,112,134,4674,12,3028,7
23:20,111,134,4694,12,2941,7
23:25,111,134,4635,12,2935,7
23:30,112,134,4580,11,2949,7
23:35,111,126,4528,12,2937,7
23:40,111,132,4482,12,2991,7
23:45,111,132,4445,12,2987,7
23:50,111,131,4424,12,2968,7
23:55,112,133,4409,12,2965,7
