Time,Biogas CO2,Biomass CO2,Natural Gas CO2,Coal CO2,Imports CO2,Geothermal CO2
00:00,108,154,2324,6,4088,9
00:05,108,154,2337,6,4048,9
00:10,108,154,2349,6,3989,9
00:15,108,154,2374,7,3964,9
00:20,108,154,2378,7,3911,9
00:25,108,153,2306,7,3908,9
00:30,108,153,2261,7,3980,9
00:35,109,153,2259,6,3962,9
00:40,109,155,2241,6,3927,9
00:45,109,154,2233,6,3924,9
00:50,109,154,2226,6,3927,9
00:55,109,154,2207,6,3942,9
01:00,108,154,2203,6,3948,9
01:05,108,154,2198,7,3931,9
01:10,109,154,2215,7,3912,9
01:15,109,154,2224,7,3911,9
01:20,109,154,2234,7,3930,9
01:25,109,153,2226,7,3944,9
01:30,109,153,2199,6,3938,9
01:35,109,152,2204,6,3915,9
01:40,109,153,2210,6,3881,9
01:45,109,152,2203,6,3890,9
01:50,109,153,2199,6,3871,9
01:55,109,153,2216,6,3849,9
02:00,109,152,2193,6,3842,9
02:05,108,152,2177,7,3812,9
02:10,108,153,2187,7,3790,9
02:15,108,153,2187,7,3788,9
02:20,108,153,2193,7,3794,9
02:25,108,153,2199,7,3771,9
02:30,108,153,2200,6,3753,9
02:35,108,152,2192,6,3767,9
02:40,108,152,2190,6,3756,9
02:45,108,153,2212,6,3768,9
02:50,108,153,2223,6,3752,9
02:55,108,152,2239,6,3762,9
03:00,108,152,2230,6,3800,9
03:05,108,152,2258,6,3778,9
03:10,108,153,2265,6,3803,9
03:15,108,153,2277,6,3788,9
03:20,108,154,2264,6,3804,9
03:25,108,154,2254,6,3842,9
03:30,108,154,2255,6,3860,9
03:35,108,154,2248,6,3854,9
03:40,108,154,2240,6,3883,9
03:45,108,154,2246,6,3877,9
03:50,108,154,2261,6,3901,9
03:55,108,154,2254,6,3878,9
04:00,108,155,2246,6,3884,9
04:05,108,154,2239,6,3916,9
04:10,108,154,2274,6,3902,9
04:15,108,154,2248,6,3972,9
04:20,108,155,2244,6,3998,9
04:25,108,155,2259,6,4008,9
04:30,108,154,2264,6,4015,9
04:35,108,153,2286,6,4035,9
04:40,108,154,2317,6,4046,9
04:45,108,154,2346,6,4043,9
