Time,Biogas CO2,Biomass CO2,Natural Gas CO2,Coal CO2,Imports CO2,Geothermal CO2
00:00,70,100,3407,0,2283,6
00:05,70,99,3418,0,2281,6
00:10,70,99,3460,0,2156,6
00:15,69,98,3509,0,2097,6
00:20,69,100,3546,0,2056,6
00:25,70,101,3619,0,2025,6
00:30,70,100,3630,0,2043,6
00:35,70,100,3619,0,2053,6
00:40,70,100,3601,0,2034,6
00:45,69,100,3590,0,2021,6
00:50,69,100,3564,0,2001,6
00:55,69,99,3546,0,2018,6
01:00,69,98,3559,0,1972,6
01:05,69,99,3577,0,1967,6
01:10,69,99,3584,0,1965,6
01:15,69,99,3605,0,2003,6
01:20,70,99,3627,0,1997,6
01:25,69,99,3627,0,1982,6
01:30,69,98,3628,0,1996,6
01:35,69,98,3643,0,1961,6
01:40,70,99,3643,0,1978,6
01:45,70,99,3642,0,1990,6
01:50,69,99,3646,0,1999,6
01:55,69,99,3652,0,1989,6
02:00,70,99,3652,0,1997,6
02:05,70,98,3646,0,2001,6
02:10,70,98,3652,0,1925,6
02:15,70,98,3646,0,1945,6
02:20,70,97,3637,0,1941,6
02:25,70,97,3639,0,1946,6
02:30,70,97,3644,0,1927,6
02:35,70,97,3646,0,1927,6
02:40,70,96,3645,0,1913,6
02:45,70,97,3648,0,1929,6
02:50,70,97,3649,0,1934,6
02:55,70,97,3648,0,1912,6
03:00,70,97,3647,0,1908,6
03:05,70,97,3634,0,1888,6
03:10,69,98,3594,0,1920,6
03:15,69,97,3579,0,1935,6
03:20,69,98,3558,0,1909,6
03:25,69,98,3539,0,1886,6
03:30,69,97,3539,0,1875,6
03:35,69,97,3543,0,1892,6
03:40,68,97,3539,0,1917,6
03:45,68,97,3538,0,1920,6
03:50,68,98,3521,0,1921,6
03:55,68,97,3476,0,1921,6
04:00,68,97,3509,0,1896,6
04:05,68,97,3486,0,1874,6
04:10,69,97,3465,0,1824,6
04:15,69,98,3512,0,1833,6
04:20,69,98,3570,0,1779,6
04:25,69,98,3597,0,1803,6
04:30,69,97,3614,0,1840,6
04:35,69,98,3632,0,1861,6
04:40,69,99,3645,0,1911,6
04:45,69,99,3648,0,1923,6
04:50,69,99,3670,0,1930,6
04:55,69,99,3679,0,1909,6
05:00,69,99,3651,0,1871,6
05:05,69,98,3537,0,1859,6
05:10,69,99,3364,0,1765,6
05:15,69,99,3264,0,1733,6
05:20,69,98,3321,0,1724,6
05:25,69,99,3381,0,1689,6
05:30,69,98,3460,0,1694,6
05:35,69,99,3532,0,1704,6
05:40,69,99,3541,0,1722,6
05:45,69,99,3541,0,1713,6
05:50,69,99,3545,0,1722,6
05:55,69,99,3555,0,1761,6
06:00,69,98,3559,0,1764,6
06:05,69,99,3591,0,1649,6
06:10,68,99,3598,0,1530,6
06:15,68,98,3602,0,1476,6
06:20,68,99,3608,0,1499,6
06:25,68,99,3608,0,1510,6
06:30,68,99,3609,0,1656,6
06:35,68,99,3603,0,1709,6
06:40,68,98,3597,0,1589,6
06:45,68,99,3558,0,1496,6
06:50,68,99,3455,0,1496,6
06:55,68,98,3308,0,1490,6
07:00,68,99,3211,0,1426,6
