Time,Biogas CO2,Biomass CO2,Natural Gas CO2,Coal CO2,Imports CO2,Geothermal CO2
00:00,81,105,2907,0,3032,7
00:05,81,105,2922,0,2928,7
00:10,82,103,2938,0,2886,7
00:15,81,104,2954,0,2876,7
00:20,81,104,2965,0,2844,7
00:25,81,104,2946,0,2882,7
00:30,81,105,2880,0,2895,7
00:35,81,104,2833,0,2898,7
00:40,81,104,2827,0,2945,7
00:45,80,104,2844,0,2946,7
00:50,80,102,2844,0,2941,7
00:55,79,102,2856,0,2950,7
01:00,79,102,2861,0,2944,7
01:05,79,102,2897,0,2887,7
01:10,79,102,2928,0,2804,7
01:15,79,102,2929,0,2817,7
01:20,79,102,2924,0,2820,7
01:25,79,102,2917,0,2787,7
01:30,79,102,2929,0,2791,7
01:35,79,102,2930,0,2811,7
01:40,79,102,2926,0,2818,7
01:45,79,102,2918,0,2847,7
01:50,79,101,2868,0,2924,7
01:55,79,101,2828,0,2935,7
02:00,79,102,2813,0,2934,7
02:05,79,101,2793,0,2951,7
02:10,79,100,2765,0,2890,7
02:15,79,100,2745,0,2912,7
02:20,79,100,2744,0,2961,7
02:25,79,101,2741,0,2937,7
02:30,79,101,2740,0,2960,7
02:35,79,101,2732,0,2951,7
02:40,79,101,2734,0,2949,7
02:45,79,102,2732,0,2943,7
02:50,79,102,2718,0,2927,7
02:55,79,101,2713,0,2946,7
03:00,79,102,2716,0,2929,7
03:05,79,102,2729,0,2925,7
03:10,79,102,2745,0,2854,7
03:15,79,102,2749,0,2845,7
03:20,79,102,2728,0,2835,7
03:25,79,102,2624,0,2845,7
03:30,77,100,2642,0,2806,7
03:35,77,100,2619,0,2849,7
03:40,77,101,2591,0,2856,7
03:45,77,100,2591,0,2862,7
03:50,77,100,2578,0,2851,7
03:55,77,99,2567,0,2835,7
04:00,77,99,2569,0,2837,7
04:05,77,99,2553,0,2858,7
04:10,77,100,2536,0,2873,7
04:15,77,100,2527,0,2891,7
04:20,77,100,2529,0,2893,7
04:25,77,100,2530,0,2885,7
04:30,77,100,2530,0,2904,7
04:35,77,100,2535,0,2897,7
04:40,77,101,2554,0,2902,7
04:45,77,101,2585,0,2887,7
04:50,77,100,2596,0,2871,7
04:55,77,100,2593,0,2876,7
05:00,77,100,2595,0,2904,7
05:05,74,100,2527,0,2897,7
05:10,73,101,2452,0,2740,7
05:15,73,101,2477,0,2692,7
05:20,73,101,2538,0,2670,7
05:25,72,101,2589,0,2609,7
05:30,72,101,2599,0,2591,7
05:35,72,101,2613,0,2639,7
05:40,72,101,2634,0,2609,7
05:45,72,101,2659,0,2619,7
05:50,72,100,2690,0,2599,7
05:55,72,100,2720,0,2629,7
06:00,72,101,2745,0,2583,7
06:05,72,100,2762,0,2476,7
06:10,72,100,2777,0,2348,7
06:15,71,99,2787,0,2197,7
06:20,70,99,2754,0,2076,7
06:25,69,100,2712,0,2059,7
06:30,70,100,2679,0,2046,7
06:35,70,100,2611,0,2004,7
06:40,70,100,2537,0,2014,7
06:45,70,101,2393,0,1920,7
06:50,70,101,2299,0,1833,7
06:55,70,101,2223,0,1758,7
07:00,71,102,2173,0,1633,7
07:05,71,103,2071,0,1532,7
07:10,72,104,2026,0,1406,7
07:15,72,104,1956,0,1232,7
07:20,72,104,1914,0,1005,7
07:25,72,104,1830,0,975,7
07:30,72,102,1778,0,943,7
07:35,72,101,1747,0,921,7
07:40,71,101,1754,0,844,7
07:45,70,101,1804,0,722,7
07:50,70,100,1799,0,657,7
07:55,71,99,1781,0,646,7
08:00,72,99,1701,0,508,7
08:05,73,101,1498,0,139,7
08:10,74,100,1417,0,-359,7
08:15,73,99,1371,0,-619,7
08:20,73,97,1355,0,-832,7
08:25,72,96,1328,0,-726,7
08:30,72,97,1287,0,-606,7
08:35,72,96,1270,0,-675,7
08:40,73,97,1271,0,-723,7
08:45,72,97,1269,0,-807,7
08:50,72,97,1265,0,-884,7
08:55,72,97,1262,0,-948,7
09:00,73,98,1260,0,-976,7
09:05,72,98,1253,0,-838,7
09:10,72,98,1227,0,-668,7
09:15,73,98,1183,0,-674,7
09:20,73,98,1119,0,-631,7
09:25,74,99,1044,0,-650,7
09:30,75,100,1026,0,-709,7
09:35,76,102,944,0,-666,7
09:40,76,103,945,0,-591,7
09:45,76,103,946,0,-519,7
09:50,76,102,949,0,-487,7
09:55,76,104,946,0,-489,7
10:00,76,104,947,0,-450,7
10:05,76,104,956,0,-500,7
10:10,77,103,967,0,-768,7
10:15,77,104,962,0,-933,7
10:20,77,104,960,0,-1056,7
10:25,77,104,965,0,-1114,7
10:30,77,105,944,0,-1152,7
10:35,78,105,929,0,-1103,7
10:40,78,105,926,0,-1140,7
10:45,78,105,925,0,-1165,7
10:50,78,105,921,0,-1225,7
10:55,77,105,917,0,-1330,7
11:00,77,104,897,0,-1413,7
11:05,77,104,872,0,-1436,7
11:10,77,104,868,0,-1372,7
11:15,76,103,866,0,-1431,7
11:20,77,103,868,0,-1482,7
11:25,76,104,868,0,-1499,7
11:30,77,103,868,0,-1554,7
11:35,75,103,874,0,-1607,7
11:40,75,102,874,0,-1645,7
11:45,75,102,873,0,-1663,7
11:50,75,101,874,0,-1766,7
11:55,75,102,871,0,-1770,7
12:00,75,103,869,0,-1769,7
12:05,76,103,867,0,-1727,7
12:10,76,103,865,0,-1592,7
12:15,76,103,867,0,-1616,7
12:20,76,103,867,0,-1676,7
12:25,76,103,864,0,-1719,7
12:30,76,104,865,0,-1718,7
12:35,76,104,866,0,-1772,7
12:40,76,105,863,0,-1830,7
12:45,76,105,864,0,-1873,7
12:50,76,105,865,0,-1902,7
12:55,76,105,862,0,-1904,7
13:00,76,105,861,0,-1893,7
13:05,76,105,879,0,-1879,7
13:10,76,106,914,0,-1809,7
13:15,76,105,951,0,-1749,7
13:20,76,105,956,0,-1719,7
13:25,76,106,962,0,-1717,7
13:30,76,106,973,0,-1844,7
13:35,76,106,978,0,-1849,7
13:40,76,106,982,0,-1842,7
13:45,76,106,984,0,-1829,7
13:50,76,106,1009,0,-1814,7
13:55,75,105,1051,0,-1809,7
14:00,75,103,1053,0,-1875,7
14:05,75,104,1053,0,-1908,7
14:10,75,104,1058,0,-1896,7
14:15,75,104,1060,0,-1863,7
14:20,75,105,1069,0,-1836,7
14:25,76,105,1075,0,-1870,7
14:30,77,105,1073,0,-1935,7
14:35,76,106,1079,0,-1902,7
14:40,75,105,1080,0,-1966,7
14:45,76,105,1085,0,-1904,7
14:50,77,105,1102,0,-1863,7
14:55,77,104,1112,0,-1811,7
15:00,76,103,1138,0,-1718,7
15:05,76,104,1155,0,-1657,7
15:10,76,105,1179,0,-1429,7
15:15,76,103,1202,0,-1382,7
15:20,75,105,1197,0,-1371,7
15:25,76,105,1206,0,-1386,7
15:30,76,104,1219,0,-1475,7
15:35,76,106,1241,0,-1525,7
15:40,76,107,1261,0,-1523,7
15:45,76,107,1271,0,-1505,7
15:50,76,107,1280,0,-1487,7
15:55,74,107,1294,0,-1459,7
16:00,73,107,1309,0,-1412,7
16:05,74,107,1299,0,-1348,7
16:10,73,107,1305,0,-1263,7
16:15,74,108,1327,0,-1167,7
16:20,73,107,1375,0,-1041,7
16:25,73,107,1423,0,-981,7
16:30,73,108,1420,0,-875,7
16:35,73,108,1422,0,-784,7
16:40,73,109,1432,0,-666,7
16:45,73,108,1467,0,-600,7
16:50,74,107,1508,0,-557,7
16:55,73,108,1560,0,-428,7
17:00,73,107,1626,0,-404,7
17:05,73,107,1684,0,-447,7
17:10,74,106,1730,0,-511,7
17:15,78,106,1808,0,-436,7
17:20,80,106,1886,0,-395,7
17:25,79,106,1989,0,-501,7
17:30,80,106,2066,0,-533,7
17:35,82,106,2129,0,-581,7
17:40,81,106,2243,0,-518,7
17:45,81,107,2408,0,-472,7
17:50,82,108,2453,0,-371,7
17:55,81,106,2542,0,-297,7
18:00,81,107,2626,0,-223,7
18:05,81,107,2703,0,-126,7
18:10,81,106,2732,0,267,7
18:15,80,107,2830,0,401,7
18:20,79,107,2937,0,369,7
18:25,80,107,3176,0,249,7
18:30,80,108,3291,0,210,7
18:35,80,107,3510,0,64,7
18:40,80,107,3629,0,95,7
18:45,80,107,3748,0,198,7
18:50,81,107,4009,0,194,7
18:55,80,108,4286,0,78,7
19:00,82,111,4422,0,49,7
19:05,82,111,4415,0,8,7
19:10,82,111,4320,0,4,7
19:15,82,110,4334,0,90,7
19:20,82,111,4356,0,229,7
19:25,82,111,4363,0,309,7
19:30,83,109,4352,0,343,7
19:35,82,109,4459,0,479,7
19:40,83,112,4569,0,528,8
19:45,83,112,4575,0,565,7
19:50,83,110,4573,0,547,7
19:55,83,109,4621,0,529,7
20:00,82,110,4641,0,550,7
20:05,83,111,4718,0,484,7
20:10,84,111,4701,0,264,8
20:15,84,111,4658,0,385,8
20:20,84,111,4626,0,468,8
20:25,84,112,4639,0,568,8
20:30,84,112,4684,0,644,8
20:35,84,112,4633,0,656,8
20:40,84,112,4606,0,694,8
20:45,84,112,4584,0,732,8
20:50,84,111,4505,0,841,8
20:55,83,110,4460,0,866,7
21:00,83,110,4459,0,885,7
21:05,83,109,4454,0,860,7
21:10,83,111,4447,0,759,7
21:15,83,110,4440,0,728,7
21:20,83,111,4411,0,762,7
21:25,83,110,4391,0,864,7
21:30,83,110,4392,0,971,7
21:35,83,110,4343,0,1067,7
21:40,82,111,4337,0,1213,7
21:45,82,111,4328,0,1329,7
21:50,83,111,4339,0,1459,7
21:55,82,111,4343,0,1505,7
22:00,82,110,4336,0,1555,7
22:05,82,110,4339,0,1568,7
22:10,79,110,4343,0,1452,7
22:15,77,110,4345,0,1448,7
22:20,77,110,4336,0,1466,7
22:25,77,109,4328,0,1543,7
22:30,77,109,4324,0,1613,7
22:35,77,109,4304,0,1691,7
22:40,77,109,4293,0,1822,7
22:45,77,108,4300,0,1927,7
22:50,77,108,4310,0,2022,7
22:55,77,108,4316,0,2122,7
23:00,77,109,4316,0,2178,7
23:05,77,109,4336,0,2160,7
23:10,77,108,4342,0,1914,7
23:15,77,108,4337,0,1836,7
23:20,77,106,4249,0,1910,7
23:25,76,106,4239,0,2041,7
23:30,76,105,4224,0,2111,7
23:35,75,106,4179,0,2196,7
23:40,75,106,4153,0,2244,7
23:45,75,106,4151,0,2267,7
23:50,75,106,4147,0,2294,7
23:55,75,106,4148,0,2225,7
