Time,Biogas CO2,Biomass CO2,Natural Gas CO2,Coal CO2,Imports CO2,Geothermal CO2
00:00,117,125,3925,12,2140,9
00:05,118,125,3945,12,2118,9
00:10,118,126,3923,12,2103,9
00:15,118,124,3897,12,2043,9
00:20,118,124,3885,12,2018,9
00:25,119,124,3866,13,2052,9
00:30,119,124,3808,13,2058,9
00:35,119,125,3796,13,2025,9
00:40,119,125,3765,13,2008,9
00:45,119,124,3702,13,2001,9
00:50,119,123,3645,13,2007,9
00:55,119,122,3598,13,2015,9
01:00,119,123,3573,13,1992,9
01:05,120,124,3569,13,2011,9
01:10,120,124,3571,12,2011,9
01:15,120,124,3598,12,1975,9
01:20,120,125,3588,12,1978,9
01:25,120,126,3615,12,1922,9
01:30,120,127,3642,12,1889,9
01:35,120,126,3624,12,1883,9
01:40,120,126,3568,12,1895,9
01:45,120,127,3542,12,1934,9
01:50,120,127,3502,13,1925,9
01:55,120,127,3499,13,1935,9
02:00,120,127,3523,13,1914,9
02:05,120,126,3566,13,1875,9
02:10,121,127,3631,13,1839,9
02:15,120,126,3684,13,1756,9
02:20,120,126,3677,13,1728,9
02:25,119,126,3642,13,1720,9
02:30,119,126,3629,12,1726,9
02:35,119,127,3630,13,1727,9
02:40,119,127,3643,12,1712,9
02:45,119,126,3674,12,1699,9
02:50,119,126,3690,12,1680,9
02:55,119,125,3655,12,1683,9
03:00,119,126,3632,12,1682,9
03:05,119,126,3648,12,1690,9
03:10,119,128,3685,11,1677,9
03:15,119,128,3665,12,1669,9
03:20,119,128,3676,11,1678,9
03:25,119,127,3647,11,1667,9
03:30,119,126,3634,12,1672,9
03:35,120,125,3641,12,1692,9
03:40,119,125,3644,11,1708,9
03:45,120,125,3624,13,1708,9
03:50,119,125,3626,13,1680,9
03:55,120,126,3660,13,1645,9
04:00,120,125,3667,13,1642,9
04:05,119,125,3655,13,1633,9
04:10,119,123,3526,13,1573,9
04:15,120,125,3449,13,1613,9
04:20,120,127,3511,14,1559,9
04:25,120,126,3579,13,1510,9
04:30,120,126,3596,14,1474,9
04:35,120,126,3629,14,1393,9
04:40,120,126,3674,14,1359,9
04:45,119,126,3697,13,1343,9
04:50,119,125,3693,13,1364,9
04:55,119,126,3711,13,1363,9
05:00,119,126,3717,13,1352,9
05:05,119,124,3715,13,1354,9
05:10,120,126,3834,13,1382,9
05:15,121,127,3847,13,1419,9
05:20,121,129,3852,12,1442,9
05:25,121,128,3882,12,1453,9
