Time,Biogas CO2,Biomass CO2,Natural Gas CO2,Coal CO2,Imports CO2,Geothermal CO2
00:00,128,170,3558,14,3829,9
00:05,128,171,3547,14,3784,9
00:10,128,170,3580,14,3676,9
00:15,128,171,3501,14,3676,9
00:20,128,171,3362,15,3718,9
00:25,127,169,3162,15,3813,9
00:30,127,168,2990,15,3879,9
00:35,127,168,2939,14,3893,9
00:40,128,166,2876,14,3884,9
00:45,128,165,2847,14,3846,9
00:50,128,166,2842,14,3840,9
00:55,128,166,2792,14,3866,9
01:00,128,167,2741,14,3869,9
01:05,129,167,2757,14,3861,9
01:10,129,166,2783,15,3894,9
01:15,128,166,2769,15,3836,9
01:20,128,164,2708,14,3778,9
01:25,128,164,2661,14,3810,9
01:30,129,163,2609,14,3830,9
01:35,129,164,2582,14,3834,9
01:40,128,164,2505,14,3896,9
01:45,128,165,2486,14,3888,9
01:50,129,167,2496,14,3867,9
01:55,129,169,2480,14,3887,9
02:00,129,170,2433,14,3900,9
02:05,129,169,2390,14,3931,9
02:10,130,169,2356,14,3986,9
02:15,130,169,2378,14,3962,9
02:20,130,168,2365,15,3935,9
02:25,130,169,2364,14,3941,9
02:30,130,169,2380,14,3933,9
02:35,130,168,2363,14,3900,9
02:40,130,167,2349,14,3964,9
02:45,131,168,2365,14,3914,9
02:50,131,167,2348,14,3873,9
02:55,131,167,2313,14,3917,9
03:00,132,169,2306,14,3904,9
03:05,132,169,2277,14,3907,9
03:10,132,170,2266,14,3963,9
03:15,132,171,2273,15,3979,9
03:20,132,169,2244,14,3962,9
03:25,132,169,2201,14,4047,9
03:30,131,169,2193,14,4046,9
03:35,132,170,2141,15,4055,9
03:40,132,170,2138,15,4063,9
03:45,133,171,2123,14,4031,9
03:50,133,172,2100,14,4042,9
03:55,133,173,2125,14,4064,9
04:00,133,174,2149,15,4041,9
04:05,133,174,2138,15,4037,9
04:10,133,174,2166,15,3986,9
04:15,133,175,2163,15,3984,9
04:20,133,174,2152,15,3976,9
04:25,133,174,2146,15,4000,9
04:30,133,173,2136,15,4008,9
04:35,133,173,2274,15,4078,9
04:40,133,173,2308,15,4073,9
04:45,132,171,2276,15,4081,9
04:50,133,172,2246,15,4108,9
04:55,133,173,2231,15,4182,9
05:00,133,174,2246,15,4180,9
05:05,134,175,2297,15,4133,9
05:10,134,175,2395,15,4016,9
05:15,133,172,2337,15,3944,9
05:20,132,172,2309,15,3919,9
05:25,132,173,2323,15,3918,9
05:30,132,174,2310,16,3936,9
05:35,132,175,2303,16,4006,9
05:40,133,175,2298,16,4076,9
05:45,132,175,2328,15,4079,9
05:50,132,175,2325,16,4029,9
05:55,132,175,2305,16,4032,9
06:00,132,177,2293,15,4000,9
06:05,133,178,2294,15,4000,9
06:10,133,179,2320,15,4010,9
06:15,133,180,2260,15,4061,9
06:20,134,183,2290,15,4003,9
06:25,134,184,2292,15,3915,9
06:30,134,184,2300,15,3856,9
06:35,134,185,2344,15,3790,9
06:40,134,183,2441,15,3814,9
06:45,134,184,2499,15,3747,9
06:50,133,184,2502,15,3694,9
06:55,134,184,2548,15,3662,9
07:00,133,186,2560,15,3536,9
07:05,133,186,2526,14,3475,9
07:10,133,184,2515,14,3471,9
07:15,134,187,2594,15,3325,9
07:20,134,187,2641,14,3119,9
07:25,134,186,2634,13,2967,9
07:30,134,186,2638,13,2840,9
07:35,134,187,2668,13,2747,9
07:40,134,187,2727,13,2612,9
07:45,134,187,2779,13,2434,9
07:50,134,187,2817,14,2329,9
07:55,134,187,2805,14,2294,9
08:00,133,186,2824,15,2182,9
08:05,133,186,2798,14,2077,9
08:10,133,184,2885,15,2157,9
08:15,133,185,2928,14,2181,9
08:20,133,186,2974,14,2093,9
08:25,133,186,2974,15,2031,9
08:30,133,186,2976,15,1963,9
08:35,133,186,2978,15,1922,9
08:40,133,186,3002,15,1846,9
08:45,133,186,3014,15,1809,9
08:50,134,186,3016,15,1791,9
08:55,134,185,3036,15,1768,9
09:00,134,182,3036,15,1774,9
09:05,135,180,3003,14,1826,9
09:10,135,183,3032,15,1886,9
09:15,135,183,2605,15,1898,9
09:20,135,181,2364,16,1931,9
09:25,135,180,2380,16,1912,9
09:30,135,181,2367,15,1918,9
09:35,135,178,2371,15,1949,9
09:40,135,178,2373,15,1961,9
09:45,135,177,2391,15,1965,9
09:50,135,176,2401,15,1986,9
09:55,135,174,2411,15,1997,9
10:00,135,174,2405,14,2040,9
10:05,135,173,2411,14,2036,9
10:10,134,173,2364,14,2057,9
10:15,135,172,2372,15,2097,9
10:20,135,174,2371,14,2129,9
10:25,135,174,2383,14,2169,9
10:30,135,176,2383,15,2171,9
10:35,135,176,2391,15,2188,9
10:40,135,176,2389,15,2199,9
10:45,134,175,2419,14,2217,9
10:50,134,173,2446,14,2244,9
10:55,134,172,2481,13,2269,9
11:00,134,172,2493,13,2273,9
11:05,133,172,2515,14,2266,9
11:10,134,171,2446,14,2263,9
11:15,133,171,2393,14,2288,9
11:20,134,172,2438,14,2261,9
11:25,133,172,2338,14,2092,9
11:30,133,171,2299,14,2110,9
11:35,133,172,2346,14,2097,9
11:40,133,173,2289,14,1964,9
11:45,133,172,2250,14,1963,9
11:50,133,173,2272,14,1962,9
11:55,133,172,2278,14,1970,9
12:00,132,173,2301,14,1988,9
12:05,132,172,2318,14,1979,9
12:10,132,172,2313,14,2011,9
12:15,132,172,2368,14,1936,9
12:20,132,172,2365,14,1928,9
12:25,133,172,2394,14,1918,9
12:30,133,172,2427,14,1927,9
12:35,132,171,2477,14,1918,9
12:40,131,171,2533,14,1869,9
12:45,131,170,2560,14,1891,9
12:50,130,169,2618,14,1861,9
12:55,130,169,2635,14,1842,9
13:00,130,169,2637,14,1853,9
13:05,130,170,2665,14,1859,9
13:10,130,169,2684,13,1919,9
13:15,130,169,2744,14,1932,9
13:20,130,169,2831,15,1919,9
13:25,130,172,2950,15,1964,9
13:30,129,169,3102,15,1965,9
13:35,129,167,3048,14,2030,9
13:40,129,168,3020,14,2038,9
13:45,129,170,3084,14,2026,9
13:50,129,171,3152,14,2012,9
13:55,129,171,3199,14,2009,9
14:00,129,170,3198,14,2037,9
14:05,129,170,3330,14,1938,9
14:10,129,170,3388,14,1852,9
14:15,129,169,3419,13,1831,9
14:20,129,170,3421,14,1829,9
14:25,129,170,3459,14,1812,9
14:30,129,171,3514,14,1811,9
14:35,129,170,3583,14,1778,9
14:40,128,170,3630,13,1753,9
14:45,128,169,3660,13,1764,9
14:50,128,168,3600,13,1791,9
14:55,128,169,3636,13,1766,9
15:00,128,170,3658,13,1823,9
15:05,129,170,3694,14,1816,9
15:10,129,169,3725,14,1728,9
15:15,129,170,3761,14,1755,9
15:20,129,169,3727,13,1795,9
15:25,129,170,3733,14,1839,9
15:30,129,171,3769,14,1830,9
15:35,129,171,3802,14,1852,9
15:40,129,172,3683,14,1785,9
15:45,130,175,3602,13,1844,9
15:50,130,175,3625,14,1895,9
15:55,129,176,3686,14,1867,9
16:00,129,175,3699,14,1915,9
16:05,129,174,3723,14,1893,9
16:10,129,174,3778,14,1743,9
