Time,Biogas CO2,Biomass CO2,Natural Gas CO2,Coal CO2,Imports CO2,Geothermal CO2
00:00,107,153,2972,9,3628,9
00:05,107,155,3030,10,3576,9
00:10,108,155,3077,9,3556,9
00:15,107,153,3079,9,3540,9
00:20,106,153,3082,8,3522,9
00:25,106,152,2950,9,3522,9
00:30,106,152,2815,9,3536,9
00:35,106,153,2793,9,3526,9
00:40,106,153,2791,8,3512,9
00:45,106,153,2777,8,3479,9
00:50,106,153,2741,9,3475,9
00:55,107,154,2741,9,3463,9
01:00,107,154,2733,9,3442,9
01:05,107,155,2740,9,3400,9
01:10,107,155,2740,9,3396,9
01:15,107,153,2732,9,3347,9
01:20,107,152,2640,9,3342,9
01:25,106,151,2617,9,3337,9
01:30,106,151,2606,9,3332,9
01:35,106,153,2555,9,3340,9
01:40,106,154,2527,9,3341,9
01:45,106,154,2537,9,3322,9
01:50,106,154,2539,9,3302,9
01:55,107,155,2531,9,3300,9
02:00,106,155,2514,9,3292,9
02:05,106,155,2541,9,3327,9
02:10,106,155,2587,9,3353,9
02:15,106,154,2617,9,3329,9
02:20,106,154,2609,9,3329,9
02:25,105,153,2613,9,3326,9
02:30,106,154,2616,9,3328,9
02:35,106,155,2624,9,3297,9
02:40,106,154,2608,9,3311,9
02:45,106,154,2614,9,3298,9
02:50,106,154,2621,9,3290,9
02:55,106,153,2631,9,3298,9
03:00,106,153,2618,9,3306,9
03:05,106,154,2621,9,3295,9
03:10,106,155,2648,9,3274,9
03:15,106,153,2643,9,3257,9
03:20,106,153,2641,9,3253,9
03:25,105,153,2650,8,3241,9
03:30,106,153,2647,9,3227,9
03:35,106,154,2646,9,3212,9
03:40,106,155,2646,9,3214,9
03:45,106,154,2638,8,3216,9
03:50,106,154,2622,8,3239,9
03:55,106,154,2622,9,3238,9
04:00,106,155,2599,9,3263,9
04:05,106,155,2567,8,3318,9
04:10,106,156,2548,7,3368,9
04:15,107,156,2544,8,3417,9
04:20,107,157,2555,8,3447,9
04:25,107,158,2524,8,3445,9
04:30,107,157,2504,8,3406,9
04:35,107,158,2509,8,3437,9
04:40,107,158,2528,9,3456,9
04:45,107,157,2528,8,3477,9
04:50,107,157,2558,8,3474,9
04:55,106,157,2595,9,3489,9
05:00,106,156,2596,8,3499,9
05:05,106,158,2608,8,3495,9
05:10,105,159,2612,9,3486,9
05:15,106,160,2587,9,3504,9
05:20,106,160,2609,9,3552,9
05:25,105,159,2633,9,3543,9
05:30,105,158,2649,9,3550,9
05:35,105,158,2661,9,3572,9
05:40,105,158,2692,9,3594,9
05:45,105,157,2708,9,3561,9
05:50,105,158,2714,9,3536,9
05:55,105,158,2718,9,3557,9
06:00,105,158,2690,9,3554,9
06:05,105,160,2680,8,3618,9
06:10,106,163,2753,9,3640,9
06:15,104,163,2784,9,3632,9
06:20,104,164,2774,9,3630,9
06:25,104,164,2697,9,3673,9
06:30,105,164,2666,9,3604,9
06:35,106,164,2670,9,3589,9
06:40,105,164,2685,9,3565,9
06:45,105,164,2625,9,3549,9
06:50,105,165,2539,8,3558,9
06:55,105,165,2490,8,3560,9
07:00,106,166,2507,8,3531,9
07:05,106,165,2564,7,3410,9
07:10,106,166,2605,8,3378,9
07:15,106,165,2584,8,3297,9
07:20,104,164,2521,8,3211,9
07:25,104,164,2472,9,3153,9
07:30,105,164,2456,9,3074,9
07:35,105,165,2432,9,2971,9
07:40,104,165,2385,9,2919,9
07:45,105,167,2384,9,2829,9
07:50,106,168,2344,9,2746,9
07:55,105,168,2343,9,2666,9
08:00,106,168,2355,9,2562,9
08:05,106,169,2335,10,2558,9
08:10,106,169,2338,10,2623,9
08:15,106,169,2379,9,2638,9
08:20,106,170,2401,9,2585,9
08:25,106,170,2398,9,2527,9
08:30,107,169,2396,9,2486,9
08:35,107,169,2428,9,2442,9
08:40,106,169,2439,9,2395,9
08:45,107,168,2401,9,2390,9
08:50,107,167,2403,10,2334,9
08:55,108,165,2437,10,2246,9
09:00,108,161,2449,10,2156,9
09:05,107,162,2435,8,2068,9
09:10,107,161,2387,9,2119,9
09:15,107,158,2390,10,2099,9
09:20,107,156,2382,9,2072,9
09:25,108,157,2371,9,2057,10
09:30,108,157,2392,9,2037,9
09:35,109,157,2442,9,1975,10
09:40,109,157,2439,9,1949,9
09:45,108,155,2378,9,1921,9
09:50,109,153,2364,9,1950,9
09:55,109,153,2388,8,1989,9
10:00,110,153,2367,9,2008,9
10:05,110,153,2390,9,2038,9
10:10,110,155,2438,9,2020,9
10:15,109,154,2437,9,2000,9
10:20,109,153,2460,9,1969,9
10:25,108,152,2470,9,1952,9
10:30,109,150,2487,10,1951,9
10:35,108,150,2494,10,1912,9
10:40,109,149,2516,10,1865,9
10:45,108,148,2494,12,1896,9
10:50,108,148,2478,12,1912,9
10:55,107,147,2469,12,1955,9
11:00,107,147,2486,12,1980,9
11:05,107,148,2534,12,1936,9
11:10,107,149,2584,11,1928,9
11:15,107,150,2573,11,1896,9
11:20,106,152,2555,10,1877,9
11:25,106,155,2597,10,1866,9
11:30,106,157,2626,10,1848,9
11:35,106,159,2684,10,1774,9
11:40,106,159,2695,10,1764,9
11:45,107,159,2715,10,1740,9
11:50,107,160,2741,10,1703,9
11:55,107,162,2724,10,1676,9
12:00,106,164,2720,10,1619,9
12:05,107,165,2728,9,1641,9
12:10,106,163,2765,9,1620,9
12:15,107,162,2727,9,1611,9
12:20,106,164,2719,8,1627,9
12:25,107,165,2720,8,1634,9
12:30,107,166,2741,8,1628,9
12:35,107,165,2757,7,1629,9
12:40,107,164,2736,8,1667,9
12:45,107,163,2751,8,1684,9
12:50,107,164,2753,8,1688,9
12:55,107,164,2784,8,1684,9
13:00,106,163,2770,7,1701,9
13:05,107,163,2790,7,1693,9
13:10,107,163,2801,7,1736,9
13:15,107,163,2788,7,1756,9
13:20,107,163,2780,7,1772,9
13:25,107,163,2790,7,1797,9
13:30,107,165,2814,8,1817,9
13:35,106,165,2838,8,1805,9
13:40,106,165,2839,8,1854,9
13:45,106,163,2873,8,1877,9
13:50,106,163,2891,8,1853,9
13:55,107,164,2912,8,1843,9
14:00,106,163,2973,8,1799,9
14:05,106,163,3039,8,1796,9
14:10,106,164,2979,8,1794,9
14:15,106,165,3061,8,1743,9
14:20,106,165,3119,8,1754,9
14:25,106,164,3173,9,1756,9
14:30,106,161,3212,7,1765,9
14:35,106,162,3223,7,1786,9
14:40,106,162,3232,7,1814,9
14:45,106,162,3287,8,1820,9
14:50,106,160,3316,8,1816,9
14:55,105,160,3357,7,1832,9
15:00,105,160,3315,8,1852,9
15:05,105,160,3296,8,1930,9
15:10,105,161,3359,7,1947,9
15:15,106,162,3420,8,1930,9
15:20,105,161,3408,8,1984,9
15:25,105,161,3453,8,1976,9
15:30,106,162,3475,8,2014,9
15:35,105,162,3533,8,2021,9
15:40,105,162,3570,9,2051,9
15:45,105,162,3606,8,2055,9
15:50,105,161,3638,8,2072,9
15:55,105,161,3703,8,2059,9
16:00,104,161,3670,8,2105,9
16:05,105,161,3626,8,2199,9
16:10,105,162,3568,8,2270,9
16:15,106,163,3555,8,2326,9
16:20,106,145,3576,9,2362,9
16:25,106,145,3645,10,2387,9
16:30,106,144,3675,10,2421,9
16:35,106,144,3685,10,2444,9
16:40,106,144,3705,10,2486,9
16:45,106,144,3746,10,2514,9
16:50,106,143,3807,10,2505,9
16:55,105,142,3907,10,2455,9
17:00,105,142,3893,10,2460,9
17:05,104,142,3837,9,2541,9
17:10,104,142,3834,9,2490,9
17:15,105,143,3799,9,2541,9
17:20,106,143,3780,9,2612,9
17:25,106,144,3803,9,2654,9
17:30,106,143,3830,9,2727,9
17:35,106,143,3868,9,2768,9
17:40,106,143,3932,9,2802,9
17:45,106,142,3993,9,2794,9
17:50,105,141,4013,9,2789,9
17:55,104,141,4042,9,2795,9
18:00,103,141,3969,9,2920,9
18:05,103,141,3934,9,3058,9
18:10,104,141,3850,9,3154,9
18:15,105,143,3813,9,3294,9
18:20,105,143,3844,8,3441,9
18:25,105,144,3938,9,3462,9
18:30,105,143,3986,9,3484,9
18:35,104,142,4043,9,3484,9
18:40,104,141,4143,9,3482,9
18:45,104,140,4177,9,3521,9
18:50,103,140,4292,8,3508,9
18:55,103,139,4411,8,3558,9
19:00,103,139,4510,9,3583,9
19:05,103,140,4534,9,3596,9
19:10,104,141,4584,9,3640,9
19:15,105,142,4683,8,3675,9
19:20,105,142,4732,8,3747,9
19:25,105,141,4728,8,3756,9
19:30,105,140,4771,8,3771,9
19:35,104,140,4831,9,3793,9
19:40,104,141,4845,9,3828,9
19:45,105,141,4875,8,3818,9
19:50,104,141,4849,8,3805,9
19:55,104,141,4830,9,3862,9
20:00,105,141,4785,9,3928,9
20:05,104,141,4768,9,3993,9
20:10,105,143,4811,9,4058,9
20:15,105,144,4834,9,4070,9
20:20,105,145,4820,9,4115,9
20:25,105,144,4807,9,4133,9
20:30,105,144,4811,9,4146,9
20:35,105,144,4812,9,4162,9
20:40,105,144,4811,9,4157,9
20:45,105,144,4799,8,4186,9
20:50,105,144,4778,9,4194,9
20:55,105,145,4770,8,4194,9
21:00,105,145,4798,8,4204,9
21:05,105,144,4777,8,4269,9
21:10,104,144,4639,9,4381,9
21:15,104,143,4585,8,4377,9
21:20,104,144,4543,8,4396,9
21:25,104,144,4529,7,4396,9
21:30,104,144,4515,7,4368,9
21:35,103,144,4422,7,4425,9
21:40,103,145,4295,7,4545,9
21:45,104,145,4246,7,4578,9
21:50,104,146,4230,7,4595,9
21:55,104,146,4266,7,4495,9
22:00,105,145,4257,7,4424,9
22:05,104,144,4245,7,4336,9
22:10,104,142,4258,8,4307,9
22:15,103,141,4216,8,4221,9
22:20,103,140,4186,8,4144,9
22:25,103,140,4150,8,4164,9
22:30,103,140,4091,7,4174,9
22:35,103,140,4059,8,4131,9
22:40,103,140,4011,8,4090,9
22:45,103,140,3949,8,4091,9
22:50,103,140,3899,8,4089,9
22:55,103,142,3861,7,4095,9
23:00,103,142,3869,8,4020,9
23:05,103,142,3898,8,3927,9
23:10,104,141,3886,8,3908,9
23:15,103,140,3948,8,3790,9
23:20,103,139,3902,7,3758,9
23:25,103,140,3874,6,3769,9
23:30,103,142,3821,6,3760,9
23:35,103,145,3712,7,3811,9
23:40,102,148,3615,7,3857,9
23:45,103,148,3565,7,3869,9
23:50,103,149,3504,7,3871,9
23:55,103,150,3476,7,3861,9
