Time,Biogas CO2,Biomass CO2,Natural Gas CO2,Coal CO2,Imports CO2,Geothermal CO2
00:00,140,133,1628,15,4315,10
00:05,140,134,1670,15,4259,10
00:10,141,134,1664,15,4246,10
00:15,139,133,1688,14,4195,10
00:20,139,132,1710,14,4133,10
00:25,138,132,1722,14,4121,10
00:30,137,130,1713,15,4066,9
00:35,138,130,1701,14,4067,9
00:40,138,129,1716,14,4053,9
00:45,138,131,1690,14,4035,10
00:50,139,131,1677,14,4026,10
00:55,139,131,1657,14,4035,10
01:00,139,132,1622,14,4038,10
01:05,139,132,1564,14,4081,10
01:10,139,132,1552,14,4118,10
01:15,139,132,1548,15,4117,10
01:20,140,132,1500,14,4140,10
01:25,139,132,1438,14,4173,10
01:30,140,132,1423,14,4192,10
01:35,141,133,1390,14,4266,10
01:40,142,133,1369,15,4292,10
01:45,142,135,1387,14,4235,10
01:50,141,134,1375,14,4205,10
01:55,142,134,1377,14,4176,10
02:00,142,134,1368,15,4166,10
02:05,142,134,1324,15,4207,10
02:10,142,135,1298,16,4266,10
02:15,142,135,1285,16,4278,10
02:20,143,135,1283,16,4276,10
02:25,143,134,1311,16,4271,10
02:30,142,134,1319,15,4243,10
02:35,142,134,1348,15,4220,10
02:40,143,136,1326,15,4247,10
02:45,143,136,1304,16,4239,10
02:50,144,136,1282,16,4243,10
02:55,144,136,1301,16,4232,10
03:00,144,137,1342,16,4212,10
03:05,144,137,1384,16,4167,10
03:10,144,137,1427,16,4188,10
03:15,143,136,1444,16,4176,10
03:20,143,135,1457,15,4197,10
03:25,143,135,1468,16,4154,10
03:30,143,134,1508,16,4136,10
03:35,142,134,1512,16,4131,10
03:40,142,132,1531,16,4129,10
03:45,142,132,1519,16,4154,10
03:50,142,133,1517,16,4192,10
03:55,142,133,1533,16,4169,10
04:00,142,133,1533,15,4170,10
04:05,142,134,1548,16,4148,10
04:10,141,135,1580,16,4077,10
04:15,141,135,1586,16,4124,10
04:20,142,133,1588,16,4194,10
04:25,141,133,1547,16,4204,10
04:30,141,134,1558,17,4198,10
04:35,142,134,1563,17,4240,10
04:40,142,135,1615,17,4247,10
04:45,141,135,1628,17,4247,10
04:50,141,134,1639,16,4275,10
04:55,141,134,1644,16,4302,10
05:00,141,134,1686,16,4340,10
