Time,Biogas CO2,Biomass CO2,Natural Gas CO2,Coal CO2,Imports CO2,Geothermal CO2
00:00,118,142,2169,14,3038,9
00:05,119,137,2172,13,3032,9
00:10,118,144,2132,14,3060,9
00:15,118,145,2135,14,3016,9
00:20,117,146,2110,14,2979,9
00:25,116,138,2042,14,2956,9
00:30,116,144,2054,13,2922,9
00:35,117,144,2025,13,2942,9
00:40,117,134,1976,13,2964,9
00:45,118,145,1978,13,2996,9
00:50,119,146,1960,14,3017,9
00:55,120,147,1926,13,3046,9
01:00,121,148,1890,14,3086,9
01:05,121,149,1815,14,3142,9
01:10,121,149,1705,14,3252,9
01:15,121,149,1745,13,3243,9
01:20,121,147,1777,13,3160,9
01:25,120,147,1754,13,3145,9
01:30,120,146,1731,13,3116,9
01:35,121,141,1713,13,3109,9
01:40,122,150,1699,14,3124,9
01:45,123,151,1655,14,3160,9
01:50,124,152,1654,14,3163,9
01:55,124,146,1639,14,3164,9
02:00,123,152,1635,15,3177,9
02:05,123,152,1629,15,3164,9
02:10,124,153,1628,15,3167,9
02:15,122,143,1523,14,3159,9
02:20,120,147,1423,13,3144,9
02:25,119,146,1413,13,3137,9
02:30,119,146,1410,13,3143,9
02:35,119,140,1403,13,3114,9
02:40,119,148,1420,13,3095,9
02:45,119,147,1405,13,3091,9
02:50,119,147,1418,14,3050,9
02:55,119,140,1404,13,3022,9
03:00,119,147,1376,14,3003,9
03:05,119,146,1393,14,2983,9
03:10,119,146,1427,13,2934,9
03:15,118,147,1382,14,2900,9
03:20,118,148,1380,13,2882,9
03:25,119,142,1403,14,2855,9
03:30,119,147,1414,14,2847,9
03:35,119,147,1326,13,2827,9
03:40,119,148,1289,13,2811,9
03:45,118,141,1339,13,2829,9
03:50,119,147,1422,14,2816,9
03:55,119,146,1430,13,2781,9
04:00,118,148,1406,13,2797,9
04:05,119,148,1427,14,2780,9
04:10,119,146,1451,14,2730,9
04:15,119,146,1366,13,2727,9
04:20,118,147,1355,14,2731,9
04:25,118,141,1378,14,2721,9
04:30,118,148,1401,13,2742,9
04:35,118,147,1415,13,2733,9
04:40,118,137,1410,13,2751,9
04:45,118,148,1407,14,2810,9
04:50,119,148,1383,13,2815,9
04:55,119,148,1277,13,2835,9
05:00,118,137,1241,13,2881,9
05:05,118,147,1408,13,2892,9
05:10,119,147,1501,13,2815,9
05:15,119,147,1397,13,2808,9
05:20,119,137,1366,13,2851,9
05:25,119,148,1379,13,2878,9
05:30,119,147,1356,13,2926,9
05:35,119,148,1355,13,2977,9
05:40,119,147,1369,12,2997,9
05:45,119,146,1365,13,3012,9
05:50,118,146,1392,13,2990,9
05:55,118,146,1416,13,2951,9
06:00,118,135,1362,13,2987,9
06:05,117,145,1408,13,3027,9
06:10,117,146,1402,13,3111,9
06:15,117,146,1351,13,3190,9
06:20,118,137,1355,13,3232,9
06:25,117,146,1370,13,3159,9
06:30,118,147,1340,13,3143,9
06:35,118,140,1337,12,3083,9
06:40,118,137,1331,12,2988,9
06:45,119,148,1261,12,2946,9
06:50,119,148,1265,13,2818,9
06:55,119,141,1303,12,2661,9
07:00,119,148,1389,12,2523,9
07:05,118,149,1380,13,2516,9
07:10,119,149,1362,13,2567,9
07:15,119,137,1381,13,2446,9
07:20,119,150,1391,13,2247,9
07:25,119,150,1403,13,2073,9
07:30,119,141,1416,13,1892,9
07:35,119,139,1472,13,1718,9
07:40,120,151,1498,13,1558,9
07:45,119,151,1496,13,1341,9
07:50,119,142,1465,13,1161,9
07:55,119,146,1530,13,1105,9
08:00,119,152,1538,13,985,9
08:05,119,152,1528,14,787,9
08:10,119,152,1512,13,676,9
08:15,120,146,1508,13,601,9
08:20,119,152,1522,13,538,9
08:25,118,152,1507,13,515,9
08:30,118,152,1518,13,475,9
08:35,118,145,1510,13,504,9
08:40,118,150,1538,13,447,9
08:45,118,151,1550,12,341,9
08:50,118,149,1539,12,373,9
08:55,119,144,1559,14,394,9
09:00,119,149,1567,14,348,9
09:05,119,149,1577,13,346,9
09:10,119,148,1541,14,359,9
09:15,120,146,1538,14,450,9
09:20,120,144,1593,14,455,9
09:25,120,138,1586,14,399,9
09:30,119,144,1580,13,318,9
09:35,120,144,1588,14,244,9
09:40,120,134,1593,13,196,9
09:45,119,133,1600,13,220,9
09:50,119,137,1593,11,226,9
09:55,119,137,1584,12,219,9
10:00,119,127,1581,13,180,9
10:05,118,136,1593,12,195,9
10:10,117,137,1580,13,104,9
10:15,117,136,1596,13,145,9
10:20,120,127,1585,11,173,9
10:25,120,136,1587,10,225,9
10:30,120,137,1574,9,250,9
10:35,120,137,1576,9,323,9
10:40,120,125,1550,9,296,9
10:45,120,125,1559,9,232,9
10:50,120,125,1555,9,218,9
10:55,120,126,1607,9,268,9
11:00,121,120,1577,10,250,9
11:05,121,129,1557,10,271,9
11:10,122,128,1518,10,231,9
11:15,121,120,1485,11,262,9
11:20,121,127,1492,12,227,9
11:25,121,134,1517,11,168,9
11:30,121,138,1518,11,108,9
11:35,122,139,1514,11,83,9
11:40,122,140,1507,11,-22,9
11:45,122,139,1524,11,14,9
11:50,123,140,1526,11,31,9
11:55,122,139,1522,10,46,9
12:00,122,139,1542,11,22,9
12:05,122,137,1594,11,14,9
12:10,121,137,1580,11,55,9
12:15,121,131,1593,11,1,9
12:20,121,138,1578,10,-25,9
