date,resource,energy_mwh,co2_g,gco2_per_kwh
2018-04-10,batteries,138.5,0.0,0.0
2018-04-10,biogas,5634.666666666666,3080916666.6666665,546.7788689067677
2018-04-10,biomass,6976.999999999999,3210333333.333333,460.13090631121304
2018-04-10,coal,0.0,0.0,
2018-04-10,geothermal,17134.916666666664,167250000.0,9.76077113496321
2018-04-10,imports,130035.83333333331,59869833333.33333,460.41027152771994
2018-04-10,large hydro,77819.33333333333,0.0,0.0
2018-04-10,natural gas,199176.3333333333,91832250000.0,461.0600489683346
2018-04-10,nuclear,38752.75,0.0,0.0
2018-04-10,other,0.0,0.0,
2018-04-10,small hydro,10925.416666666666,0.0,0.0
2018-04-10,solar,90186.08333333333,0.0,0.0
2018-04-10,wind,33873.5,0.0,0.0
2018-04-11,batteries,33.24999999999999,0.0,0.0
2018-04-11,biogas,1853.5000000000002,1036499999.9999999,559.2123010520635
2018-04-11,biomass,1828.5833333333333,859833333.3333333,470.2182928496559
2018-04-11,coal,35.74999999999999,30166666.666666664,843.8228438228439
2018-04-11,geothermal,5112.666666666667,51583333.33333333,10.089320641543877
2018-04-11,imports,48075.58333333333,22555666666.666664,469.17094089688635
2018-04-11,large hydro,24106.749999999996,0.0,0.0
2018-04-11,natural gas,40490.5,19078833333.333332,471.19283124024975
2018-04-11,nuclear,12429.750000000002,0.0,0.0
2018-04-11,other,0.0,0.0,
2018-04-11,small hydro,3642.083333333334,0.0,0.0
2018-04-11,solar,1167.0,0.0,0.0
2018-04-11,wind,29508.666666666664,0.0,0.0
2018-04-12,batteries,155.75,0.0,0.0
2018-04-12,biogas,5698.416666666666,3255083333.333333,571.2259253301356
2018-04-12,biomass,5998.333333333332,2882500000.0,480.55015282022794
2018-04-12,coal,110.0,93250000.0,847.7272727272727
2018-04-12,geothermal,16469.916666666664,165916666.66666666,10.073922656965479
2018-04-12,imports,135886.25,64884083333.33333,477.48821778018987
2018-04-12,large hydro,74048.66666666666,0.0,0.0
2018-04-12,natural gas,118577.91666666666,56929583333.33333,480.1027453819043
2018-04-12,nuclear,39069.49999999999,0.0,0.0
2018-04-12,other,0.0,0.0,
2018-04-12,small hydro,11982.25,0.0,0.0
2018-04-12,solar,86109.41666666666,0.0,0.0
2018-04-12,wind,76746.5,0.0,0.0
2018-04-13,batteries,85.58333333333333,0.0,0.0
2018-04-13,biogas,5725.333333333332,3206333333.333333,560.0256171401957
2018-04-13,biomass,6260.249999999999,2952333333.333333,471.59990948178324
2018-04-13,coal,129.83333333333331,106416666.66666666,819.6405648267009
2018-04-13,geothermal,18386.75,178916666.66666666,9.730739073880194
2018-04-13,imports,147204.91666666666,68981333333.33333,468.60753631983533
2018-04-13,large hydro,68535.83333333334,0.0,0.0
2018-04-13,natural gas,137874.5,64784833333.33333,469.88263481161005
2018-04-13,nuclear,39078.33333333333,0.0,0.0
2018-04-13,other,0.0,0.0,
2018-04-13,small hydro,11768.416666666666,0.0,0.0
2018-04-13,solar,98697.41666666666,0.0,0.0
2018-04-13,wind,33245.166666666664,0.0,0.0
2018-04-14,batteries,72.33333333333333,0.0,0.0
2018-04-14,biogas,5825.666666666666,3219000000.0,552.5547862905534
2018-04-14,biomass,6549.416666666666,3043583333.333333,464.7105976359218
2018-04-14,coal,70.74999999999999,58166666.666666664,822.143698468787
2018-04-14,geothermal,22829.083333333332,219916666.66666666,9.633179898448251
2018-04-14,imports,127671.08333333331,59318250000.0,464.6177384202767
2018-04-14,large hydro,65750.25,0.0,0.0
2018-04-14,natural gas,127011.41666666666,59168250000.0,465.8498547046624
2018-04-14,nuclear,39259.58333333333,0.0,0.0
2018-04-14,other,0.0,0.0,
2018-04-14,small hydro,11198.833333333332,0.0,0.0
2018-04-14,solar,101233.0,0.0,0.0
2018-04-14,wind,21368.499999999996,0.0,0.0
2018-04-15,batteries,209.41666666666663,0.0,0.0
2018-04-15,biogas,5744.916666666666,3265416666.6666665,568.4010502038034
2018-04-15,biomass,5570.916666666666,2664083333.333333,478.2127417690087
2018-04-15,coal,133.25,110666666.66666666,830.5190744215133
2018-04-15,geothermal,22384.166666666664,222333333.3333333,9.932616060459402
2018-04-15,imports,104778.41666666666,49542833333.33333,472.83433849687555
2018-04-15,large hydro,72650.91666666666,0.0,0.0
2018-04-15,natural gas,100565.25,47994250000.0,477.24487335337005
2018-04-15,nuclear,53675.99999999999,0.0,0.0
2018-04-15,other,0.0,0.0,
2018-04-15,small hydro,11482.166666666666,0.0,0.0
2018-04-15,solar,72768.91666666666,0.0,0.0
2018-04-15,wind,47263.83333333333,0.0,0.0
2018-04-16,batteries,178.66666666666663,0.0,0.0
2018-04-16,biogas,4813.5,2681500000.0,557.0790485094006
2018-04-16,biomass,4967.5,2326166666.6666665,468.27713470894145
2018-04-16,coal,131.16666666666663,107833333.33333333,822.1092757306228
2018-04-16,geothermal,21832.833333333332,217250000.0,9.95060955594403
2018-04-16,imports,146584.3333333333,68653666666.666664,468.3560999015357
2018-04-16,large hydro,76490.91666666666,0.0,0.0
2018-04-16,natural gas,101789.33333333333,47735666666.666664,468.96531398181867
2018-04-16,nuclear,54671.0,0.0,0.0
2018-04-16,other,0.0,0.0,
2018-04-16,small hydro,11904.666666666666,0.0,0.0
2018-04-16,solar,63585.416666666664,0.0,0.0
2018-04-16,wind,71096.66666666666,0.0,0.0
2018-04-17,batteries,131.58333333333331,0.0,0.0
2018-04-17,biogas,4883.083333333333,2757083333.333333,564.6193491134358
2018-04-17,biomass,5352.333333333333,2543666666.6666665,475.24444167652734
