year,weighted_gco2_per_kwh
2018,266.8261377161341
2019,254.12132768204026
2020,271.61165312780753
2021,264.749581892601
2022,249.37597269800807
2023,224.24015188232295
2024,192.42771455027423
2025,152.05829960073575
